legacy_url,disposition,target_url,redirect_code,reason,owner,priority,implementation_layer,url_class,source,has_organic_traffic,has_external_links
/?p=1077,merge,/video/,301,Legacy URL redirects to /video/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=11082,merge,/sfcc-24-1-release-a-new-year-update/,301,Legacy URL redirects to /sfcc-24-1-release-a-new-year-update/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=11181,merge,/understanding-locale-fallback-in-sfcc/,301,Legacy URL redirects to /understanding-locale-fallback-in-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=1124,merge,/server-side-performance-in-sfcc/,301,Legacy URL redirects to /server-side-performance-in-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=11255,merge,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,301,Legacy URL redirects to /a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=11362,merge,/the-attribute-fallback-system-in-sfcc/,301,Legacy URL redirects to /the-attribute-fallback-system-in-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=11566,merge,/digging-into-the-b2c-commerce-cloud-24-3-release/,301,Legacy URL redirects to /digging-into-the-b2c-commerce-cloud-24-3-release/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=1161,merge,/the-move-from-on-site-to-remote/,301,Legacy URL redirects to /the-move-from-on-site-to-remote/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=11627,merge,/reflecting-on-2-years-of-blogging/,301,Legacy URL redirects to /reflecting-on-2-years-of-blogging/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=11658,merge,/in-the-ring-ocapi-versus-scapi/,301,Legacy URL redirects to /in-the-ring-ocapi-versus-scapi/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=11710,merge,/migrate-magento-passwords-using-argon2/,301,Legacy URL redirects to /migrate-magento-passwords-using-argon2/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=11734,merge,/getting-to-know-the-sfcc-24-4-release/,301,Legacy URL redirects to /getting-to-know-the-sfcc-24-4-release/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=11813,merge,/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,301,Legacy URL redirects to /getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=11871,merge,/salesforce-connections-2024-and-sfcc/,301,Legacy URL redirects to /salesforce-connections-2024-and-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=11960,merge,/what-is-new-in-sfcc-24-6/,301,Legacy URL redirects to /what-is-new-in-sfcc-24-6/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12020,merge,/the-latest-in-sfcc-version-24-7/,301,Legacy URL redirects to /the-latest-in-sfcc-version-24-7/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=1207,merge,/lets-go-live-ecdn/,301,Legacy URL redirects to /lets-go-live-ecdn/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12087,merge,/it-sure-has-been-quiet-on-this-blog/,301,Legacy URL redirects to /it-sure-has-been-quiet-on-this-blog/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12231,merge,/caching-in-the-sfcc-composable-storefront/,301,Legacy URL redirects to /caching-in-the-sfcc-composable-storefront/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12325,merge,/should-i-use-sfra-rest-endpoints-in-a-composable-storefront/,301,Legacy URL redirects to /should-i-use-sfra-rest-endpoints-in-a-composable-storefront/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12372,merge,/the-importance-of-origin-shielding/,301,Legacy URL redirects to /the-importance-of-origin-shielding/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12435,merge,/swc-and-storybook-error-failed-to-load-native-binding/,301,Legacy URL redirects to /swc-and-storybook-error-failed-to-load-native-binding/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12459,merge,/sfcc-introduction/,301,Legacy URL redirects to /sfcc-introduction/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12535,merge,/third-party-api-caching-in-commerce-cloud/,301,Legacy URL redirects to /third-party-api-caching-in-commerce-cloud/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=1265,merge,/certifications-for-salesforce-b2c-commerce-cloud/,301,Legacy URL redirects to /certifications-for-salesforce-b2c-commerce-cloud/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12739,merge,/storefront-protection-in-the-pwa-kit/,301,Legacy URL redirects to /storefront-protection-in-the-pwa-kit/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12775,merge,/sending-emails-from-sfcc/,301,Legacy URL redirects to /sending-emails-from-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12891,merge,/local-vs-shared-variation-attributes-sfcc/,301,Legacy URL redirects to /local-vs-shared-variation-attributes-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12947,merge,/mastering-sitemaps-in-sfcc/,301,Legacy URL redirects to /mastering-sitemaps-in-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=12990,merge,/lag-to-riches-a-pwa-kit-developers-guide/,301,Legacy URL redirects to /lag-to-riches-a-pwa-kit-developers-guide/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=1307,merge,/salesforce-b2c-commerce-the-22-5-release/,301,Legacy URL redirects to /salesforce-b2c-commerce-the-22-5-release/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=13098,merge,/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,301,Legacy URL redirects to /ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=13242,merge,/image-ine-sfcc-dis-for-developers/,301,Legacy URL redirects to /image-ine-sfcc-dis-for-developers/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=133,merge,/pdf-and-salesforce-commerce-cloud-b2c/,301,Legacy URL redirects to /pdf-and-salesforce-commerce-cloud-b2c/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=13311,merge,/the-sfcc-guide-to-finding-pod-numbers/,301,Legacy URL redirects to /the-sfcc-guide-to-finding-pod-numbers/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=13328,merge,/field-guide-to-custom-caches-in-sfcc/,301,Legacy URL redirects to /field-guide-to-custom-caches-in-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=13525,merge,/taming-the-beast-a-developers-deep-dive-into-sfcc-meta-tag-rules/,301,Legacy URL redirects to /taming-the-beast-a-developers-deep-dive-into-sfcc-meta-tag-rules/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=13621,merge,/kickstart-guide-for-new-sfcc-developers/,301,Legacy URL redirects to /kickstart-guide-for-new-sfcc-developers/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=13802,merge,/a-dev-guide-to-combating-fraud-on-sfcc/,301,Legacy URL redirects to /a-dev-guide-to-combating-fraud-on-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=1389,merge,/sitegenesis-vs-sfra-vs-pwa/,301,Legacy URL redirects to /sitegenesis-vs-sfra-vs-pwa/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=14004,merge,/a-survival-guide-to-sfcc-platform-limits/,301,Legacy URL redirects to /a-survival-guide-to-sfcc-platform-limits/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=14050,merge,/real-time-inventory-checks-in-sfcc/,301,Legacy URL redirects to /real-time-inventory-checks-in-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=14142,merge,/your-definitive-mobile-app-checklist/,301,Legacy URL redirects to /your-definitive-mobile-app-checklist/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=14159,merge,/the-realm-split-field-guide-to-migrating-an-sfcc-site/,301,Legacy URL redirects to /the-realm-split-field-guide-to-migrating-an-sfcc-site/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=1551,merge,/secure-coding-in-salesforce-b2c-commerce-cloud/,301,Legacy URL redirects to /secure-coding-in-salesforce-b2c-commerce-cloud/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=1631,merge,/should-i-get-javascript-developer-i-certified/,301,Legacy URL redirects to /should-i-get-javascript-developer-i-certified/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=1678,merge,/community-repositories/,301,Legacy URL redirects to /community-repositories/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=1869,merge,/podcasts-for-salesforce-b2c-commerce-cloud/,301,Legacy URL redirects to /podcasts-for-salesforce-b2c-commerce-cloud/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=1894,merge,/salesforce-b2c-commerce-the-22-6-release/,301,Legacy URL redirects to /salesforce-b2c-commerce-the-22-6-release/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=1931,merge,/what-is-oci-omnichannel-inventory/,301,Legacy URL redirects to /what-is-oci-omnichannel-inventory/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=2082,merge,/office-hours-for-salesforce-b2c-commerce-cloud/,301,Legacy URL redirects to /office-hours-for-salesforce-b2c-commerce-cloud/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=2104,merge,/the-journey-from-developer-to-architect/,301,Legacy URL redirects to /the-journey-from-developer-to-architect/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=2253,merge,/three-things-to-secure-sfcc/,301,Legacy URL redirects to /three-things-to-secure-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=2265,merge,/how-to-use-ocapi-scapi-hooks/,301,Legacy URL redirects to /how-to-use-ocapi-scapi-hooks/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=2358,merge,/salesforce-b2c-commerce-cloud-the-22-7-release/,301,Legacy URL redirects to /salesforce-b2c-commerce-cloud-the-22-7-release/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=2517,merge,/lets-go-live-seo/,301,Legacy URL redirects to /lets-go-live-seo/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=2688,merge,/non-technical-sfcc-certifications/,301,Legacy URL redirects to /non-technical-sfcc-certifications/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=2770,merge,/creating-custom-ocapi-endpoints/,301,Legacy URL redirects to /creating-custom-ocapi-endpoints/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=2942,merge,/salesforce-b2c-commerce-cloud-22-8/,301,Legacy URL redirects to /salesforce-b2c-commerce-cloud-22-8/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=2978,merge,/how-to-get-salesforce-certification-vouchers/,301,Legacy URL redirects to /how-to-get-salesforce-certification-vouchers/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=3,merge,/privacy-policy/,301,Legacy URL redirects to /privacy-policy/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=3042,merge,/custom-ttf-fonts-in-pdf-for-sfcc/,301,Legacy URL redirects to /custom-ttf-fonts-in-pdf-for-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=3433,merge,/caching-rest-apis-in-sfcc/,301,Legacy URL redirects to /caching-rest-apis-in-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=352,merge,/archive/,301,Legacy URL redirects to /archive/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=3641,merge,/what-is-the-ocapi-session-bridge/,301,Legacy URL redirects to /what-is-the-ocapi-session-bridge/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=365,merge,/ideas/,301,Legacy URL redirects to /ideas/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=3712,merge,/salesforce-b2c-commerce-cloud-customer-erd/,301,Legacy URL redirects to /salesforce-b2c-commerce-cloud-customer-erd/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=3806,merge,/salesforce-b2c-commerce-cloud-content-erd/,301,Legacy URL redirects to /salesforce-b2c-commerce-cloud-content-erd/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=3837,merge,/sfcc-basket-order-erd/,301,Legacy URL redirects to /sfcc-basket-order-erd/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=3895,merge,/lets-go-live-customer-migration/,301,Legacy URL redirects to /lets-go-live-customer-migration/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=4274,merge,/the-salesforce-b2c-commerce-cloud-environment/,301,Legacy URL redirects to /the-salesforce-b2c-commerce-cloud-environment/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=431,merge,/mail-attachments-in-b2c-commerce-cloud/,301,Legacy URL redirects to /mail-attachments-in-b2c-commerce-cloud/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=4455,merge,/20-years-of-dreamforce/,301,Legacy URL redirects to /20-years-of-dreamforce/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=4596,merge,/the-deprecation-of-the-uuid-token-for-api-clients/,301,Legacy URL redirects to /the-deprecation-of-the-uuid-token-for-api-clients/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=4795,merge,/connecting-the-clouds-wedding-or-funeral/,301,Legacy URL redirects to /connecting-the-clouds-wedding-or-funeral/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=4801,merge,/me-myself-and-headless-a-composable-commerce-cloud-story/,301,Legacy URL redirects to /me-myself-and-headless-a-composable-commerce-cloud-story/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=4827,merge,/the-path-to-being-an-architect/,301,Legacy URL redirects to /the-path-to-being-an-architect/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=4836,merge,/headless/,301,Legacy URL redirects to /headless/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=4854,merge,/life-with-goldie/,301,Legacy URL redirects to /life-with-goldie/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=4863,merge,/inside-the-ohana/,301,Legacy URL redirects to /inside-the-ohana/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=5072,merge,/what-is-commerce-on-core/,301,Legacy URL redirects to /what-is-commerce-on-core/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=528,merge,/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/,301,Legacy URL redirects to /how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=5302,merge,/salesforce-b2c-commerce-cloud-october-updates/,301,Legacy URL redirects to /salesforce-b2c-commerce-cloud-october-updates/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=5406,merge,/salesforce-b2c-commerce-cloud-governance-and-quotas/,301,Legacy URL redirects to /salesforce-b2c-commerce-cloud-governance-and-quotas/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=567,merge,/b2c-commerce-whats-new-in-the-22-3-release/,301,Legacy URL redirects to /b2c-commerce-whats-new-in-the-22-3-release/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=6122,merge,/what-is-the-sfcc-managed-runtime/,301,Legacy URL redirects to /what-is-the-sfcc-managed-runtime/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=617,merge,/slas-in-sfra-or-sitegenesis/,301,Legacy URL redirects to /slas-in-sfra-or-sitegenesis/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=6217,merge,/what-skills-do-i-need-as-a-sfcc-architect/,301,Legacy URL redirects to /what-skills-do-i-need-as-a-sfcc-architect/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=6248,merge,/what-can-i-use-chatgpt-for-when-working-with-salesforce/,301,Legacy URL redirects to /what-can-i-use-chatgpt-for-when-working-with-salesforce/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=6325,merge,/simplifying-the-salesforce-order-of-execution/,301,Legacy URL redirects to /simplifying-the-salesforce-order-of-execution/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=6585,merge,/how-to-load-client-side-javascript-and-css-in-sfra/,301,Legacy URL redirects to /how-to-load-client-side-javascript-and-css-in-sfra/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=664,merge,/b2c-commerce-whats-new-in-22-4/,301,Legacy URL redirects to /b2c-commerce-whats-new-in-22-4/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=6686,merge,/the-move-from-sitegenesis-and-sfra-to-the-composable-storefront-as-a-developer/,301,Legacy URL redirects to /the-move-from-sitegenesis-and-sfra-to-the-composable-storefront-as-a-developer/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=6708,merge,/where-to-start-when-you-are-new-to-salesforce-b2c-commerce-cloud-development/,301,Legacy URL redirects to /where-to-start-when-you-are-new-to-salesforce-b2c-commerce-cloud-development/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=68,merge,/about/,301,Legacy URL redirects to /about/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=6992,merge,/life-is-about-choices/,301,Legacy URL redirects to /life-is-about-choices/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=705,merge,/helpful-salesforce-b2c-commerce-cloud-cli-tools/,301,Legacy URL redirects to /helpful-salesforce-b2c-commerce-cloud-cli-tools/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=7399,merge,/ai-automation-to-augmentation-at-work/,301,Legacy URL redirects to /ai-automation-to-augmentation-at-work/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=7485,merge,/salesforce-b2c-commerce-cloud-erd/,301,Legacy URL redirects to /salesforce-b2c-commerce-cloud-erd/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=7569,merge,/salesforce-payments-experience-explained/,301,Legacy URL redirects to /salesforce-payments-experience-explained/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=7774,merge,/a-new-day-for-commerce-recap/,301,Legacy URL redirects to /a-new-day-for-commerce-recap/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=7979,merge,/understanding-sfcc-instances/,301,Legacy URL redirects to /understanding-sfcc-instances/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=805,merge,/salesforce-b2c-commerce-cloud-documentation/,301,Legacy URL redirects to /salesforce-b2c-commerce-cloud-documentation/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:1,,
/?p=8465,merge,/the-b2c-commerce-architect-certification/,301,Legacy URL redirects to /the-b2c-commerce-architect-certification/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=8698,merge,/a-beginners-guide-to-webdav-in-sfcc/,301,Legacy URL redirects to /a-beginners-guide-to-webdav-in-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=8853,merge,/guide-to-the-getprops-method-in-sfcc/,301,Legacy URL redirects to /guide-to-the-getprops-method-in-sfcc/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=896,merge,/commerce-cloud-t-shirts-on-shirtforce/,301,Legacy URL redirects to /commerce-cloud-t-shirts-on-shirtforce/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=9054,merge,/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,301,Legacy URL redirects to /a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=9446,merge,/can-a-isslot-element-have-a-dynamic-id/,301,Legacy URL redirects to /can-a-isslot-element-have-a-dynamic-id/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=9476,merge,/where-is-the-new-sfcc-documentation/,301,Legacy URL redirects to /where-is-the-new-sfcc-documentation/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=9611,merge,/ai-as-an-architect-and-content-creator/,301,Legacy URL redirects to /ai-as-an-architect-and-content-creator/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=972,merge,/getting-to-know-sfra-as-a-developer/,301,Legacy URL redirects to /getting-to-know-sfra-as-a-developer/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=9752,merge,/how-to-filter-jsdoc-in-storybook-autodocs/,301,Legacy URL redirects to /how-to-filter-jsdoc-in-storybook-autodocs/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?p=9935,merge,/a-look-at-the-23-9-commerce-cloud-release/,301,Legacy URL redirects to /a-look-at-the-23-9-commerce-cloud-release/; map as merge without redirect chain.,migration-engineer,low,pages-static,system,crawl:depth:2,,
/?s=ocapi,retire,,,Class system defaults to retire with 404 behavior unless explicit override is approved.,migration-engineer,low,none,system,crawl:depth:2,,
/20-years-of-dreamforce/,keep,/20-years-of-dreamforce/,,Class post defaults to keep with canonical path preserved.,seo-owner,high,none,post,crawl:depth:1|post-sitemap.xml|search-console:pages,1,
/20-years-of-dreamforce/feed/,retire,,,Class system defaults to retire with 404 behavior unless explicit override is approved.,migration-engineer,low,none,system,crawl:depth:2,,
/a-beginners-guide-to-webdav-in-sfcc/,keep,/a-beginners-guide-to-webdav-in-sfcc/,,Class post defaults to keep with canonical path preserved.,seo-owner,high,none,post,crawl:depth:1|post-sitemap.xml|search-console:pages,1,
/a-deep-dive-into-the-23-7-sfcc-release/,keep,/a-deep-dive-into-the-23-7-sfcc-release/,,Class post defaults to keep with canonical path preserved.,seo-owner,high,none,post,crawl:depth:2|post-sitemap.xml|search-console:pages,1,
/a-dev-guide-to-combating-fraud-on-sfcc/,keep,/a-dev-guide-to-combating-fraud-on-sfcc/,,Class post defaults to keep with canonical path preserved.,seo-owner,high,none,post,crawl:seed|post-sitemap.xml|search-console:pages|seed:manual,1,
/a-look-at-the-23-9-commerce-cloud-release/,keep,/a-look-at-the-23-9-commerce-cloud-release/,,Class post defaults to keep with canonical path preserved.,seo-owner,critical,none,post,crawl:depth:1|post-sitemap.xml|search-console:links|search-console:pages,1,1
/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,keep,/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,,Class post defaults to keep with canonical path preserved.,seo-owner,high,none,post,crawl:depth:1|post-sitemap.xml|search-console:pages,1,
/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,keep,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,,Class post defaults to keep with canonical path preserved.,seo-owner,high,none,post,crawl:depth:1|post-sitemap.xml|search-console:pages,1,
