legacy_url,legacy_path,route_class,disposition,target_url,intent_class,owner,notes,implementation_layer,redirect_code,has_organic_traffic,has_external_links,source
/?p=1077,/?p=1077,system,merge,/video/,pending-review,migration-engineer,Legacy URL redirects to /video/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=11082,/?p=11082,system,merge,/sfcc-24-1-release-a-new-year-update/,pending-review,migration-engineer,Legacy URL redirects to /sfcc-24-1-release-a-new-year-update/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=11181,/?p=11181,system,merge,/understanding-locale-fallback-in-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /understanding-locale-fallback-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=1124,/?p=1124,system,merge,/server-side-performance-in-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /server-side-performance-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=11255,/?p=11255,system,merge,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,pending-review,migration-engineer,Legacy URL redirects to /a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=11362,/?p=11362,system,merge,/the-attribute-fallback-system-in-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /the-attribute-fallback-system-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=11566,/?p=11566,system,merge,/digging-into-the-b2c-commerce-cloud-24-3-release/,pending-review,migration-engineer,Legacy URL redirects to /digging-into-the-b2c-commerce-cloud-24-3-release/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=1161,/?p=1161,system,merge,/the-move-from-on-site-to-remote/,pending-review,migration-engineer,Legacy URL redirects to /the-move-from-on-site-to-remote/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=11627,/?p=11627,system,merge,/reflecting-on-2-years-of-blogging/,pending-review,migration-engineer,Legacy URL redirects to /reflecting-on-2-years-of-blogging/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=11658,/?p=11658,system,merge,/in-the-ring-ocapi-versus-scapi/,pending-review,migration-engineer,Legacy URL redirects to /in-the-ring-ocapi-versus-scapi/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=11710,/?p=11710,system,merge,/migrate-magento-passwords-using-argon2/,pending-review,migration-engineer,Legacy URL redirects to /migrate-magento-passwords-using-argon2/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=11734,/?p=11734,system,merge,/getting-to-know-the-sfcc-24-4-release/,pending-review,migration-engineer,Legacy URL redirects to /getting-to-know-the-sfcc-24-4-release/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=11813,/?p=11813,system,merge,/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,pending-review,migration-engineer,Legacy URL redirects to /getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=11871,/?p=11871,system,merge,/salesforce-connections-2024-and-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /salesforce-connections-2024-and-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=11960,/?p=11960,system,merge,/what-is-new-in-sfcc-24-6/,pending-review,migration-engineer,Legacy URL redirects to /what-is-new-in-sfcc-24-6/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12020,/?p=12020,system,merge,/the-latest-in-sfcc-version-24-7/,pending-review,migration-engineer,Legacy URL redirects to /the-latest-in-sfcc-version-24-7/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=1207,/?p=1207,system,merge,/lets-go-live-ecdn/,pending-review,migration-engineer,Legacy URL redirects to /lets-go-live-ecdn/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12087,/?p=12087,system,merge,/it-sure-has-been-quiet-on-this-blog/,pending-review,migration-engineer,Legacy URL redirects to /it-sure-has-been-quiet-on-this-blog/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12231,/?p=12231,system,merge,/caching-in-the-sfcc-composable-storefront/,pending-review,migration-engineer,Legacy URL redirects to /caching-in-the-sfcc-composable-storefront/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12325,/?p=12325,system,merge,/should-i-use-sfra-rest-endpoints-in-a-composable-storefront/,pending-review,migration-engineer,Legacy URL redirects to /should-i-use-sfra-rest-endpoints-in-a-composable-storefront/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12372,/?p=12372,system,merge,/the-importance-of-origin-shielding/,pending-review,migration-engineer,Legacy URL redirects to /the-importance-of-origin-shielding/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12435,/?p=12435,system,merge,/swc-and-storybook-error-failed-to-load-native-binding/,pending-review,migration-engineer,Legacy URL redirects to /swc-and-storybook-error-failed-to-load-native-binding/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12459,/?p=12459,system,merge,/sfcc-introduction/,pending-review,migration-engineer,Legacy URL redirects to /sfcc-introduction/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12535,/?p=12535,system,merge,/third-party-api-caching-in-commerce-cloud/,pending-review,migration-engineer,Legacy URL redirects to /third-party-api-caching-in-commerce-cloud/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=1265,/?p=1265,system,merge,/certifications-for-salesforce-b2c-commerce-cloud/,pending-review,migration-engineer,Legacy URL redirects to /certifications-for-salesforce-b2c-commerce-cloud/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12739,/?p=12739,system,merge,/storefront-protection-in-the-pwa-kit/,pending-review,migration-engineer,Legacy URL redirects to /storefront-protection-in-the-pwa-kit/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12775,/?p=12775,system,merge,/sending-emails-from-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /sending-emails-from-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12891,/?p=12891,system,merge,/local-vs-shared-variation-attributes-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /local-vs-shared-variation-attributes-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12947,/?p=12947,system,merge,/mastering-sitemaps-in-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /mastering-sitemaps-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=12990,/?p=12990,system,merge,/lag-to-riches-a-pwa-kit-developers-guide/,pending-review,migration-engineer,Legacy URL redirects to /lag-to-riches-a-pwa-kit-developers-guide/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=1307,/?p=1307,system,merge,/salesforce-b2c-commerce-the-22-5-release/,pending-review,migration-engineer,Legacy URL redirects to /salesforce-b2c-commerce-the-22-5-release/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=13098,/?p=13098,system,merge,/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,pending-review,migration-engineer,Legacy URL redirects to /ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=13242,/?p=13242,system,merge,/image-ine-sfcc-dis-for-developers/,pending-review,migration-engineer,Legacy URL redirects to /image-ine-sfcc-dis-for-developers/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=133,/?p=133,system,merge,/pdf-and-salesforce-commerce-cloud-b2c/,pending-review,migration-engineer,Legacy URL redirects to /pdf-and-salesforce-commerce-cloud-b2c/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=13311,/?p=13311,system,merge,/the-sfcc-guide-to-finding-pod-numbers/,pending-review,migration-engineer,Legacy URL redirects to /the-sfcc-guide-to-finding-pod-numbers/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=13328,/?p=13328,system,merge,/field-guide-to-custom-caches-in-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /field-guide-to-custom-caches-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=13525,/?p=13525,system,merge,/taming-the-beast-a-developers-deep-dive-into-sfcc-meta-tag-rules/,pending-review,migration-engineer,Legacy URL redirects to /taming-the-beast-a-developers-deep-dive-into-sfcc-meta-tag-rules/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=13621,/?p=13621,system,merge,/kickstart-guide-for-new-sfcc-developers/,pending-review,migration-engineer,Legacy URL redirects to /kickstart-guide-for-new-sfcc-developers/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=13802,/?p=13802,system,merge,/a-dev-guide-to-combating-fraud-on-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /a-dev-guide-to-combating-fraud-on-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=1389,/?p=1389,system,merge,/sitegenesis-vs-sfra-vs-pwa/,pending-review,migration-engineer,Legacy URL redirects to /sitegenesis-vs-sfra-vs-pwa/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=14004,/?p=14004,system,merge,/a-survival-guide-to-sfcc-platform-limits/,pending-review,migration-engineer,Legacy URL redirects to /a-survival-guide-to-sfcc-platform-limits/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=14050,/?p=14050,system,merge,/real-time-inventory-checks-in-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /real-time-inventory-checks-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=14142,/?p=14142,system,merge,/your-definitive-mobile-app-checklist/,pending-review,migration-engineer,Legacy URL redirects to /your-definitive-mobile-app-checklist/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=14159,/?p=14159,system,merge,/the-realm-split-field-guide-to-migrating-an-sfcc-site/,pending-review,migration-engineer,Legacy URL redirects to /the-realm-split-field-guide-to-migrating-an-sfcc-site/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=1551,/?p=1551,system,merge,/secure-coding-in-salesforce-b2c-commerce-cloud/,pending-review,migration-engineer,Legacy URL redirects to /secure-coding-in-salesforce-b2c-commerce-cloud/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=1631,/?p=1631,system,merge,/should-i-get-javascript-developer-i-certified/,pending-review,migration-engineer,Legacy URL redirects to /should-i-get-javascript-developer-i-certified/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=1678,/?p=1678,system,merge,/community-repositories/,pending-review,migration-engineer,Legacy URL redirects to /community-repositories/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=1869,/?p=1869,system,merge,/podcasts-for-salesforce-b2c-commerce-cloud/,pending-review,migration-engineer,Legacy URL redirects to /podcasts-for-salesforce-b2c-commerce-cloud/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=1894,/?p=1894,system,merge,/salesforce-b2c-commerce-the-22-6-release/,pending-review,migration-engineer,Legacy URL redirects to /salesforce-b2c-commerce-the-22-6-release/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=1931,/?p=1931,system,merge,/what-is-oci-omnichannel-inventory/,pending-review,migration-engineer,Legacy URL redirects to /what-is-oci-omnichannel-inventory/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=2082,/?p=2082,system,merge,/office-hours-for-salesforce-b2c-commerce-cloud/,pending-review,migration-engineer,Legacy URL redirects to /office-hours-for-salesforce-b2c-commerce-cloud/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=2104,/?p=2104,system,merge,/the-journey-from-developer-to-architect/,pending-review,migration-engineer,Legacy URL redirects to /the-journey-from-developer-to-architect/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=2253,/?p=2253,system,merge,/three-things-to-secure-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /three-things-to-secure-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=2265,/?p=2265,system,merge,/how-to-use-ocapi-scapi-hooks/,pending-review,migration-engineer,Legacy URL redirects to /how-to-use-ocapi-scapi-hooks/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=2358,/?p=2358,system,merge,/salesforce-b2c-commerce-cloud-the-22-7-release/,pending-review,migration-engineer,Legacy URL redirects to /salesforce-b2c-commerce-cloud-the-22-7-release/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=2517,/?p=2517,system,merge,/lets-go-live-seo/,pending-review,migration-engineer,Legacy URL redirects to /lets-go-live-seo/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=2688,/?p=2688,system,merge,/non-technical-sfcc-certifications/,pending-review,migration-engineer,Legacy URL redirects to /non-technical-sfcc-certifications/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=2770,/?p=2770,system,merge,/creating-custom-ocapi-endpoints/,pending-review,migration-engineer,Legacy URL redirects to /creating-custom-ocapi-endpoints/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=2942,/?p=2942,system,merge,/salesforce-b2c-commerce-cloud-22-8/,pending-review,migration-engineer,Legacy URL redirects to /salesforce-b2c-commerce-cloud-22-8/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=2978,/?p=2978,system,merge,/how-to-get-salesforce-certification-vouchers/,pending-review,migration-engineer,Legacy URL redirects to /how-to-get-salesforce-certification-vouchers/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=3,/?p=3,system,merge,/privacy-policy/,pending-review,migration-engineer,Legacy URL redirects to /privacy-policy/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=3042,/?p=3042,system,merge,/custom-ttf-fonts-in-pdf-for-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /custom-ttf-fonts-in-pdf-for-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=3433,/?p=3433,system,merge,/caching-rest-apis-in-sfcc/,pending-review,migration-engineer,Legacy URL redirects to /caching-rest-apis-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=352,/?p=352,system,merge,/archive/,pending-review,migration-engineer,Legacy URL redirects to /archive/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=3641,/?p=3641,system,merge,/what-is-the-ocapi-session-bridge/,pending-review,migration-engineer,Legacy URL redirects to /what-is-the-ocapi-session-bridge/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=365,/?p=365,system,merge,/ideas/,pending-review,migration-engineer,Legacy URL redirects to /ideas/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=3712,/?p=3712,system,merge,/salesforce-b2c-commerce-cloud-customer-erd/,pending-review,migration-engineer,Legacy URL redirects to /salesforce-b2c-commerce-cloud-customer-erd/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=3806,/?p=3806,system,merge,/salesforce-b2c-commerce-cloud-content-erd/,pending-review,migration-engineer,Legacy URL redirects to /salesforce-b2c-commerce-cloud-content-erd/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=3837,/?p=3837,system,merge,/sfcc-basket-order-erd/,pending-review,migration-engineer,Legacy URL redirects to /sfcc-basket-order-erd/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=3895,/?p=3895,system,merge,/lets-go-live-customer-migration/,pending-review,migration-engineer,Legacy URL redirects to /lets-go-live-customer-migration/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=4274,/?p=4274,system,merge,/the-salesforce-b2c-commerce-cloud-environment/,pending-review,migration-engineer,Legacy URL redirects to /the-salesforce-b2c-commerce-cloud-environment/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=431,/?p=431,system,merge,/mail-attachments-in-b2c-commerce-cloud/,pending-review,migration-engineer,Legacy URL redirects to /mail-attachments-in-b2c-commerce-cloud/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:1
/?p=4455,/?p=4455,system,merge,/20-years-of-dreamforce/,pending-review,migration-engineer,Legacy URL redirects to /20-years-of-dreamforce/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=4596,/?p=4596,system,merge,/the-deprecation-of-the-uuid-token-for-api-clients/,pending-review,migration-engineer,Legacy URL redirects to /the-deprecation-of-the-uuid-token-for-api-clients/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=4795,/?p=4795,system,merge,/connecting-the-clouds-wedding-or-funeral/,pending-review,migration-engineer,Legacy URL redirects to /connecting-the-clouds-wedding-or-funeral/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=4801,/?p=4801,system,merge,/me-myself-and-headless-a-composable-commerce-cloud-story/,pending-review,migration-engineer,Legacy URL redirects to /me-myself-and-headless-a-composable-commerce-cloud-story/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=4827,/?p=4827,system,merge,/the-path-to-being-an-architect/,pending-review,migration-engineer,Legacy URL redirects to /the-path-to-being-an-architect/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=4836,/?p=4836,system,merge,/headless/,pending-review,migration-engineer,Legacy URL redirects to /headless/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=4854,/?p=4854,system,merge,/life-with-goldie/,pending-review,migration-engineer,Legacy URL redirects to /life-with-goldie/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=4863,/?p=4863,system,merge,/inside-the-ohana/,pending-review,migration-engineer,Legacy URL redirects to /inside-the-ohana/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
/?p=5072,/?p=5072,system,merge,/what-is-commerce-on-core/,pending-review,migration-engineer,Legacy URL redirects to /what-is-commerce-on-core/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062.,none,301,,,crawl:depth:2
