route,file_path,template_family,indexable,status,blocking_failures,warnings,title,description,canonical,expected_canonical,robots,og_title,og_description,og_type,og_url,og_image,meta_refresh
/a-look-at-the-23-9-commerce-cloud-release/,public/a-look-at-the-23-9-commerce-cloud-release/index.html,post,yes,pass,,,SFCC 23.9 Release Highlights and SCAPI Updates | Rhino Inquisitor,"We are getting closer to the holiday period, and also one of the last releases of the year! This time we look at the September 2023 (23.9) release!",https://www.rhino-inquisitor.com/a-look-at-the-23-9-commerce-cloud-release/,https://www.rhino-inquisitor.com/a-look-at-the-23-9-commerce-cloud-release/,"index, follow",SFCC 23.9 Release Highlights and SCAPI Updates | Rhino Inquisitor,"We are getting closer to the holiday period, and also one of the last releases of the year! This time we look at the September 2023 (23.9) release!",article,https://www.rhino-inquisitor.com/a-look-at-the-23-9-commerce-cloud-release/,https://www.rhino-inquisitor.com/media/2023/japan-shopping-street-23-9-bd4ea7a693_hu_f3213972d55cac97.webp,no
/a-new-commerce-cloud-community-in-town/,public/a-new-commerce-cloud-community-in-town/index.html,post,yes,pass,,,A new Commerce Cloud community in town! | Rhino Inquisitor,"After Connections '22, I decided to have a look into Trailblazer Communities and how one could start a group! Let's embark on a new journey!",https://www.rhino-inquisitor.com/a-new-commerce-cloud-community-in-town/,https://www.rhino-inquisitor.com/a-new-commerce-cloud-community-in-town/,"index, follow",A new Commerce Cloud community in town! | Rhino Inquisitor,"After Connections '22, I decided to have a look into Trailblazer Communities and how one could start a group! Let's embark on a new journey!",article,https://www.rhino-inquisitor.com/a-new-commerce-cloud-community-in-town/,https://www.rhino-inquisitor.com/media/2022/trailblazer-community-group-c0e3b8a778_hu_914af86399c9f742.webp,no
/a-survival-guide-to-sfcc-platform-limits/,public/a-survival-guide-to-sfcc-platform-limits/index.html,post,yes,pass,,,Survival Guide to SFCC Platform Limits | Rhino Inquisitor,It is a scenario that haunts every e-commerce developer: the 3 AM pager alert. Read the full article on Rhino Inquisitor for implementation details.,https://www.rhino-inquisitor.com/a-survival-guide-to-sfcc-platform-limits/,https://www.rhino-inquisitor.com/a-survival-guide-to-sfcc-platform-limits/,"index, follow",Survival Guide to SFCC Platform Limits | Rhino Inquisitor,It is a scenario that haunts every e-commerce developer: the 3 AM pager alert. Read the full article on Rhino Inquisitor for implementation details.,article,https://www.rhino-inquisitor.com/a-survival-guide-to-sfcc-platform-limits/,https://www.rhino-inquisitor.com/media/2025/b2c-commerce-cloud-quota-warnings-scaled-adc4dec7e9_hu_b09a7e00889b1f2b.webp,no
/a-new-day-for-commerce-recap/,public/a-new-day-for-commerce-recap/index.html,post,yes,pass,,,A New Day for Commerce: Recap | Rhino Inquisitor,"A recap of A New Day for Commerce and what the event says about Salesforce's broader commerce direction, ecosystem momentum, and priorities.",https://www.rhino-inquisitor.com/a-new-day-for-commerce-recap/,https://www.rhino-inquisitor.com/a-new-day-for-commerce-recap/,"index, follow",A New Day for Commerce: Recap | Rhino Inquisitor,"A recap of A New Day for Commerce and what the event says about Salesforce's broader commerce direction, ecosystem momentum, and priorities.",article,https://www.rhino-inquisitor.com/a-new-day-for-commerce-recap/,https://www.rhino-inquisitor.com/media/2023/community-meetup-square-9e6587d250_hu_5e9794ae77625dc5.webp,no
/ai-as-an-architect-and-content-creator/,public/ai-as-an-architect-and-content-creator/index.html,post,yes,pass,,,AI as an Architect and Content Creator | Rhino Inquisitor,"As a content creator and Salesforce Commerce Cloud architect, I am fascinated by the seamless integration of technology and creativity.",https://www.rhino-inquisitor.com/ai-as-an-architect-and-content-creator/,https://www.rhino-inquisitor.com/ai-as-an-architect-and-content-creator/,"index, follow",AI as an Architect and Content Creator | Rhino Inquisitor,"As a content creator and Salesforce Commerce Cloud architect, I am fascinated by the seamless integration of technology and creativity.",article,https://www.rhino-inquisitor.com/ai-as-an-architect-and-content-creator/,https://www.rhino-inquisitor.com/media/2023/mixing-human-and-ai-scaled-adabfe2b5d_hu_913998786a67ee19.webp,no
/about/,public/about/index.html,page,yes,pass,,,About | Rhino Inquisitor,"Rhino Inquisitor is Thomas Theunen's working notebook for Salesforce B2C Commerce Cloud architecture, delivery lessons, and practical field guidance.",https://www.rhino-inquisitor.com/about/,https://www.rhino-inquisitor.com/about/,"index, follow",About | Rhino Inquisitor,"Rhino Inquisitor is Thomas Theunen's working notebook for Salesforce B2C Commerce Cloud architecture, delivery lessons, and practical field guidance.",website,https://www.rhino-inquisitor.com/about/,https://www.rhino-inquisitor.com/images/social-default.svg,no
/ai-automation-to-augmentation-at-work/,public/ai-automation-to-augmentation-at-work/index.html,post,yes,pass,,,AI Automation to Augmentation: Its new role in the workplace | Rhino Inquisitor,"A practical look at how AI is shifting from pure automation to workplace augmentation, and what that change means for teams and delivery.",https://www.rhino-inquisitor.com/ai-automation-to-augmentation-at-work/,https://www.rhino-inquisitor.com/ai-automation-to-augmentation-at-work/,"index, follow",AI Automation to Augmentation: Its new role in the workplace | Rhino Inquisitor,"A practical look at how AI is shifting from pure automation to workplace augmentation, and what that change means for teams and delivery.",article,https://www.rhino-inquisitor.com/ai-automation-to-augmentation-at-work/,https://www.rhino-inquisitor.com/media/2023/ai-in-the-workplace-2aeaebf266_hu_1492c816156079a8.webp,no
/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,public/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/index.html,post,yes,pass,,,"AI Won't Replace Your SFCC Job, but AI Users Might | Rhino Inquisitor","A practical look at how AI changes Salesforce Commerce Cloud work, where it improves delivery, and why developer judgment still matters most.",https://www.rhino-inquisitor.com/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,https://www.rhino-inquisitor.com/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,"index, follow","AI Won't Replace Your SFCC Job, but AI Users Might | Rhino Inquisitor","A practical look at how AI changes Salesforce Commerce Cloud work, where it improves delivery, and why developer judgment still matters most.",article,https://www.rhino-inquisitor.com/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,https://www.rhino-inquisitor.com/media/2025/rhino-with-ai-agents-scaled-9d1423b5ab_hu_acbc94af83af224c.webp,no
/ai-einstein-in-salesforce-b2c-commerce-cloud/,public/ai-einstein-in-salesforce-b2c-commerce-cloud/index.html,post,yes,pass,,,AI (Einstein) in Salesforce B2C Commerce Cloud | Rhino Inquisitor,"Salesforce B2C Commerce Cloud has an AI that can power different areas of the site. But what is it, why use it, and what can it do for me?",https://www.rhino-inquisitor.com/ai-einstein-in-salesforce-b2c-commerce-cloud/,https://www.rhino-inquisitor.com/ai-einstein-in-salesforce-b2c-commerce-cloud/,"index, follow",AI (Einstein) in Salesforce B2C Commerce Cloud | Rhino Inquisitor,"Salesforce B2C Commerce Cloud has an AI that can power different areas of the site. But what is it, why use it, and what can it do for me?",article,https://www.rhino-inquisitor.com/ai-einstein-in-salesforce-b2c-commerce-cloud/,https://www.rhino-inquisitor.com/media/2022/artificial-intelligence-fc68314ce7_hu_f4ced2c67afa3341.webp,no
/an-overview-of-sfcc-global-functions/,public/an-overview-of-sfcc-global-functions/index.html,post,yes,pass,,,SFCC Global Functions Overview | Rhino Inquisitor,"Explore the server-side global functions available in SFCC, when to use them, and how they can simplify day-to-day development work.",https://www.rhino-inquisitor.com/an-overview-of-sfcc-global-functions/,https://www.rhino-inquisitor.com/an-overview-of-sfcc-global-functions/,"index, follow",SFCC Global Functions Overview | Rhino Inquisitor,"Explore the server-side global functions available in SFCC, when to use them, and how they can simplify day-to-day development work.",article,https://www.rhino-inquisitor.com/an-overview-of-sfcc-global-functions/,https://www.rhino-inquisitor.com/media/2023/flowcharts-diagrams-on-a-wall-scaled-2fd3a78550_hu_8bd6099c25d85aaf.webp,no
/archive/,public/archive/index.html,page,yes,pass,,,Archive | Rhino Inquisitor,"Browse the Rhino Inquisitor archive to find release notes, technical guides, and long-form Salesforce Commerce Cloud articles by date.",https://www.rhino-inquisitor.com/archive/,https://www.rhino-inquisitor.com/archive/,"index, follow",Archive | Rhino Inquisitor,"Browse the Rhino Inquisitor archive to find release notes, technical guides, and long-form Salesforce Commerce Cloud articles by date.",website,https://www.rhino-inquisitor.com/archive/,https://www.rhino-inquisitor.com/images/social-default.svg,no
/b2c-commerce-whats-new-in-22-4/,public/b2c-commerce-whats-new-in-22-4/index.html,post,yes,pass,,,B2C Commerce: What's New In 22.4 | Rhino Inquisitor,"In this post we take a look at the release notes of Salesforce B2C Commerce Cloud for April 2022, and dig a bit deeper into them.",https://www.rhino-inquisitor.com/b2c-commerce-whats-new-in-22-4/,https://www.rhino-inquisitor.com/b2c-commerce-whats-new-in-22-4/,"index, follow",B2C Commerce: What's New In 22.4 | Rhino Inquisitor,"In this post we take a look at the release notes of Salesforce B2C Commerce Cloud for April 2022, and dig a bit deeper into them.",article,https://www.rhino-inquisitor.com/b2c-commerce-whats-new-in-22-4/,https://www.rhino-inquisitor.com/media/2022/warehouse-5806bba713_hu_69437dcab62241b5.webp,no
/b2c-commerce-cloud-campaign-erd/,public/b2c-commerce-cloud-campaign-erd/index.html,post,yes,pass,,,Campaign ERD of Salesforce B2C Commerce Cloud | Rhino Inquisitor,Are you wondering what entities make up a campaign in SFCC and how they are connected? Then look no more! Here is a small ERD.,https://www.rhino-inquisitor.com/b2c-commerce-cloud-campaign-erd/,https://www.rhino-inquisitor.com/b2c-commerce-cloud-campaign-erd/,"index, follow",Campaign ERD of Salesforce B2C Commerce Cloud | Rhino Inquisitor,Are you wondering what entities make up a campaign in SFCC and how they are connected? Then look no more! Here is a small ERD.,article,https://www.rhino-inquisitor.com/b2c-commerce-cloud-campaign-erd/,https://www.rhino-inquisitor.com/media/2023/newsletter-surrounded-by-cogwheels-83ae88881a_hu_3aa39e78535061ca.webp,no
/caching-rest-apis-in-sfcc/,public/caching-rest-apis-in-sfcc/index.html,post,yes,pass,,,Server-Side Caching for Faster SFCC REST APIs | Rhino Inquisitor,"Caching GET endpoints for the OCAPI in Salesforce B2C Commerce Cloud is possible, but where do you start? Let us dig into this together!",https://www.rhino-inquisitor.com/caching-rest-apis-in-sfcc/,https://www.rhino-inquisitor.com/caching-rest-apis-in-sfcc/,"index, follow",Server-Side Caching for Faster SFCC REST APIs | Rhino Inquisitor,"Caching GET endpoints for the OCAPI in Salesforce B2C Commerce Cloud is possible, but where do you start? Let us dig into this together!",article,https://www.rhino-inquisitor.com/caching-rest-apis-in-sfcc/,https://www.rhino-inquisitor.com/media/2023/caching-87696b30b8_hu_5830d3069427651d.webp,no
/b2c-commerce-whats-new-in-the-22-3-release/,public/b2c-commerce-whats-new-in-the-22-3-release/index.html,post,yes,pass,,,B2C Commerce: What's new in the 22.3 release | Rhino Inquisitor,Get some insights in the latest updates to Salesforce B2C Commerce. We have a look at the release notes and provide some background.,https://www.rhino-inquisitor.com/b2c-commerce-whats-new-in-the-22-3-release/,https://www.rhino-inquisitor.com/b2c-commerce-whats-new-in-the-22-3-release/,"index, follow",B2C Commerce: What's new in the 22.3 release | Rhino Inquisitor,Get some insights in the latest updates to Salesforce B2C Commerce. We have a look at the release notes and provide some background.,article,https://www.rhino-inquisitor.com/b2c-commerce-whats-new-in-the-22-3-release/,https://www.rhino-inquisitor.com/media/2022/lightning-man-e1646654739934-c9812efc2b_hu_b5b661bfb33fb05d.webp,no
/caching-in-the-sfcc-composable-storefront/,public/caching-in-the-sfcc-composable-storefront/index.html,post,yes,pass,,,Caching in the Salesforce Composable Storefront | Rhino Inquisitor,"Learn how caching works in the Salesforce Composable Storefront, which layers matter most, and where it improves real-world speed.",https://www.rhino-inquisitor.com/caching-in-the-sfcc-composable-storefront/,https://www.rhino-inquisitor.com/caching-in-the-sfcc-composable-storefront/,"index, follow",Caching in the Salesforce Composable Storefront | Rhino Inquisitor,"Learn how caching works in the Salesforce Composable Storefront, which layers matter most, and where it improves real-world speed.",article,https://www.rhino-inquisitor.com/caching-in-the-sfcc-composable-storefront/,https://www.rhino-inquisitor.com/media/2024/multi-layered-caching-b85c120088_hu_c376b6d51fef650.webp,no
/can-a-isslot-element-have-a-dynamic-id/,public/can-a-isslot-element-have-a-dynamic-id/index.html,page,yes,pass,,,Can an isslot Element have a dynamic ID? | Rhino Inquisitor,TL;DR It is not possible to set a dynamic ID in the <isslot tag. Explore the full page on Rhino Inquisitor for additional context.,https://www.rhino-inquisitor.com/can-a-isslot-element-have-a-dynamic-id/,https://www.rhino-inquisitor.com/can-a-isslot-element-have-a-dynamic-id/,"index, follow",Can an isslot Element have a dynamic ID? | Rhino Inquisitor,TL;DR It is not possible to set a dynamic ID in the <isslot tag. Explore the full page on Rhino Inquisitor for additional context.,website,https://www.rhino-inquisitor.com/can-a-isslot-element-have-a-dynamic-id/,https://www.rhino-inquisitor.com/media/2023/isslot-element-d83390209d_hu_f46b5841d1e3fa1c.webp,no
/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,public/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/index.html,post,yes,pass,,,Dreamforce 2023 Recap with the CommerceCrew | Rhino Inquisitor,"For those of you who have been wondering about my whereabouts some time ago, I enjoyed this massive gathering in San Francisco.",https://www.rhino-inquisitor.com/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,https://www.rhino-inquisitor.com/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,"index, follow",Dreamforce 2023 Recap with the CommerceCrew | Rhino Inquisitor,"For those of you who have been wondering about my whereabouts some time ago, I enjoyed this massive gathering in San Francisco.",article,https://www.rhino-inquisitor.com/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,https://www.rhino-inquisitor.com/media/2023/einstein-at-dreamforce-8c54eb04ec_hu_c2cd3a7c44bb7128.webp,no
/certifications-for-salesforce-b2c-commerce-cloud/,public/certifications-for-salesforce-b2c-commerce-cloud/index.html,post,yes,pass,,,Certifications for Salesforce B2C Commerce Cloud | Rhino Inquisitor,Certifications are an essential part of the journey within Salesforce. But what certifications are available for B2C Commerce Cloud?,https://www.rhino-inquisitor.com/certifications-for-salesforce-b2c-commerce-cloud/,https://www.rhino-inquisitor.com/certifications-for-salesforce-b2c-commerce-cloud/,"index, follow",Certifications for Salesforce B2C Commerce Cloud | Rhino Inquisitor,Certifications are an essential part of the journey within Salesforce. But what certifications are available for B2C Commerce Cloud?,article,https://www.rhino-inquisitor.com/certifications-for-salesforce-b2c-commerce-cloud/,https://www.rhino-inquisitor.com/media/2022/certification-ce072f4076_hu_294fa81acfe5956.webp,no
/category/,public/category/index.html,category,yes,pass,,"duplicate description across 4 routes (/, /category/, /category/documentation/, /category/platform/)",Categories | Rhino Inquisitor,"Technical articles, migration notes, and platform guidance from Rhino Inquisitor.",https://www.rhino-inquisitor.com/category/,https://www.rhino-inquisitor.com/category/,"index, follow",Categories | Rhino Inquisitor,"Technical articles, migration notes, and platform guidance from Rhino Inquisitor.",website,https://www.rhino-inquisitor.com/category/,https://www.rhino-inquisitor.com/images/social-default.svg,no
/commerce-cloud-t-shirts-on-shirtforce/,public/commerce-cloud-t-shirts-on-shirtforce/index.html,post,yes,pass,,,Commerce Cloud t-shirts on #shirtforce | Rhino Inquisitor,"For a long time shirtforce only had core platform-related t-shirt options, until now! To help a charity I decided to make some designs!",https://www.rhino-inquisitor.com/commerce-cloud-t-shirts-on-shirtforce/,https://www.rhino-inquisitor.com/commerce-cloud-t-shirts-on-shirtforce/,"index, follow",Commerce Cloud t-shirts on #shirtforce | Rhino Inquisitor,"For a long time shirtforce only had core platform-related t-shirt options, until now! To help a charity I decided to make some designs!",article,https://www.rhino-inquisitor.com/commerce-cloud-t-shirts-on-shirtforce/,https://www.rhino-inquisitor.com/media/2022/shirtforce-bugs-f0a63ab31a_hu_a9b8bab00a07b562.webp,no
/community-repositories/,public/community-repositories/index.html,page,yes,pass,,,Community Repositories | Rhino Inquisitor,"Besides the official repositories, many community contributions to Salesforce B2C Commerce Cloud exist! Here is the list!",https://www.rhino-inquisitor.com/community-repositories/,https://www.rhino-inquisitor.com/community-repositories/,"index, follow",Community Repositories | Rhino Inquisitor,"Besides the official repositories, many community contributions to Salesforce B2C Commerce Cloud exist! Here is the list!",website,https://www.rhino-inquisitor.com/community-repositories/,https://www.rhino-inquisitor.com/images/social-default.svg,no
/connecting-the-clouds-wedding-or-funeral/,public/connecting-the-clouds-wedding-or-funeral/index.html,page,yes,pass,,,Connecting the Clouds: Wedding or funeral | Rhino Inquisitor,"Connecting different clouds, in this case: B2C Commerce Cloud, CRM, and Marketing Cloud, to work together in harmony can be a challenge.",https://www.rhino-inquisitor.com/connecting-the-clouds-wedding-or-funeral/,https://www.rhino-inquisitor.com/connecting-the-clouds-wedding-or-funeral/,"index, follow",Connecting the Clouds: Wedding or funeral | Rhino Inquisitor,"Connecting different clouds, in this case: B2C Commerce Cloud, CRM, and Marketing Cloud, to work together in harmony can be a challenge.",website,https://www.rhino-inquisitor.com/connecting-the-clouds-wedding-or-funeral/,https://www.rhino-inquisitor.com/media/2022/image-2-d99b4ba03b_hu_414112bc82f2c42d.webp,no
/community-salesforce-events-and-commerce-cloud/,public/community-salesforce-events-and-commerce-cloud/index.html,post,yes,pass,,,Community Salesforce Events and Commerce Cloud | Rhino Inquisitor,Salesforce knows many community-organized events. But how does Salesforce B2C Commerce Cloud fit in? And how can we contribute?,https://www.rhino-inquisitor.com/community-salesforce-events-and-commerce-cloud/,https://www.rhino-inquisitor.com/community-salesforce-events-and-commerce-cloud/,"index, follow",Community Salesforce Events and Commerce Cloud | Rhino Inquisitor,Salesforce knows many community-organized events. But how does Salesforce B2C Commerce Cloud fit in? And how can we contribute?,article,https://www.rhino-inquisitor.com/community-salesforce-events-and-commerce-cloud/,https://www.rhino-inquisitor.com/media/2022/yeurdreamin-d42e49541c_hu_bfb958f5eabe277c.webp,no
/cookie-policy-eu/,public/cookie-policy-eu/index.html,page,yes,pass,,,Cookie Policy (EU) | Rhino Inquisitor,Legacy Complianz document shortcode removed during migration. Recreate the required consent or cookie statement in Hugo before publishing.,https://www.rhino-inquisitor.com/cookie-policy-eu/,https://www.rhino-inquisitor.com/cookie-policy-eu/,"index, follow",Cookie Policy (EU) | Rhino Inquisitor,Legacy Complianz document shortcode removed during migration. Recreate the required consent or cookie statement in Hugo before publishing.,website,https://www.rhino-inquisitor.com/cookie-policy-eu/,https://www.rhino-inquisitor.com/images/social-default.svg,no
/creating-custom-ocapi-endpoints/,public/creating-custom-ocapi-endpoints/index.html,post,yes,pass,,,Creating custom OCAPI endpoints | Rhino Inquisitor,Officially there is no possibility to define custom OCAPI endpoints. But is there a clever way to create them anyway? Find out here!,https://www.rhino-inquisitor.com/creating-custom-ocapi-endpoints/,https://www.rhino-inquisitor.com/creating-custom-ocapi-endpoints/,"index, follow",Creating custom OCAPI endpoints | Rhino Inquisitor,Officially there is no possibility to define custom OCAPI endpoints. But is there a clever way to create them anyway? Find out here!,article,https://www.rhino-inquisitor.com/creating-custom-ocapi-endpoints/,https://www.rhino-inquisitor.com/media/2022/ocapi-bb5766fd49_hu_b1f859d5b35f960f.webp,no
/delta-exports-in-salesforce-b2c-commerce/,public/delta-exports-in-salesforce-b2c-commerce/index.html,page,no,pass,,,https://www.rhino-inquisitor.com/delta-exports-in-salesforce-b2c-commerce-cloud/,,https://www.rhino-inquisitor.com/delta-exports-in-salesforce-b2c-commerce-cloud/,,,,,,,,yes
/custom-preferences-in-sfcc/,public/custom-preferences-in-sfcc/index.html,post,yes,pass,,,Using Custom Preferences in SFCC | Rhino Inquisitor,"Learn how SFCC custom preferences support configurable storefront behavior, governance, and safer environment-specific settings.",https://www.rhino-inquisitor.com/custom-preferences-in-sfcc/,https://www.rhino-inquisitor.com/custom-preferences-in-sfcc/,"index, follow",Using Custom Preferences in SFCC | Rhino Inquisitor,"Learn how SFCC custom preferences support configurable storefront behavior, governance, and safer environment-specific settings.",article,https://www.rhino-inquisitor.com/custom-preferences-in-sfcc/,https://www.rhino-inquisitor.com/media/2023/it-configuring-server-scaled-d8087e9ab9_hu_106b8ef3583f86ba.webp,no
