file,line,issueType,status,severity,value,message,suggestion
migration/output/content/posts/a-deep-dive-into-the-23-7-sfcc-release.md,15,generic_alt_text,fail,high,A screenshot of the Google Local Inventory ads depicting two shoes and their location.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/a-deep-dive-into-the-23-7-sfcc-release.md,19,weak_link_text,warn,medium,here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/a-deep-dive-into-the-23-7-sfcc-release.md,31,generic_alt_text,fail,high,A screenshot of the categorization rules in the 23.7 release,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/a-look-at-the-23-9-commerce-cloud-release.md,1,weak_link_text,warn,medium,Click here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/a-look-at-the-23-9-commerce-cloud-release.md,9,missing_alt_text,fail,critical,/media/2023/sfcc-custom-endpoints-138d76b101.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/a-look-at-the-23-9-commerce-cloud-release.md,37,generic_alt_text,fail,high,"A screenshot of the Language Options in the Salesforce B2C Commerce Cloud Business Manager showing the new ""Japanese Improved"" option in the dropdown.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/a-look-at-the-23-9-commerce-cloud-release.md,45,generic_alt_text,fail,high,A screenshot of the code profiler prior to the 23.9 release.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release.md,3,weak_link_text,warn,medium,Click here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release.md,11,generic_alt_text,fail,high,A screenshot showing the Feature switch called 'Partioned Cookies' with the default value of 'true'.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release.md,69,generic_alt_text,fail,high,A screenshot of the date settings in a locale before the 24.2 release.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release.md,73,generic_alt_text,fail,high,"A screenshot of the date settings in a locale after the 24.2 release, showing the new start day of the week option.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/a-look-at-the-sfcc-23-5-release.md,3,weak_link_text,warn,medium,Click here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/a-look-at-the-sfcc-23-5-release.md,82,missing_alt_text,fail,critical,/media/2023/scapi-channel-types-2023-2795e88145.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/a-look-back-at-origin-shielding.md,5,missing_alt_text,fail,critical,/media/2022/origin-shielding-first-mention-9d41cb51f2.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/a-look-back-at-origin-shielding.md,9,missing_alt_text,fail,critical,/media/2022/march-2022-origin-shielding-815c30777b.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/a-new-commerce-cloud-community-in-town.md,6,missing_alt_text,fail,critical,/media/2022/join-the-salesforce-benelux-commerce-cloud-community-v4-afd7195f3b.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/a-new-commerce-cloud-community-in-town.md,94,missing_alt_text,fail,critical,/media/2022/get-to-know-each-other-v2-60539cfd30.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/a-new-day-for-commerce-recap.md,9,generic_alt_text,fail,high,Screenshot of the Demandware Xchange Website of 2015.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/a-new-day-for-commerce-recap.md,66,generic_alt_text,fail,high,"A picture of Thomas Theunen, Igor Faletski, and Sander Felius sitting on a coach for a panel discussion.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/a-new-day-for-commerce-recap.md,86,missing_alt_text,fail,critical,/media/2023/a-new-day-for-commerce-community-2cc42304c9.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/ai-as-an-architect-and-content-creator.md,14,generic_alt_text,fail,high,A screenshot of ChatGPT transforming the original title of this blogpost to some creative ones,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/ai-as-an-architect-and-content-creator.md,28,generic_alt_text,fail,high,"A screenshot of Leonardo.AI of generating the image of this post using the prompt ""a mix of a human male face wearing glasses with a robot""",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/ai-as-an-architect-and-content-creator.md,48,generic_alt_text,fail,high,A screenshot of this blog post being assisted with the Grammarly AI tool.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/ai-as-an-architect-and-content-creator.md,65,generic_alt_text,fail,high,A screenshot of Webstorm showing React testing code being generated.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/ai-as-an-architect-and-content-creator.md,78,generic_alt_text,fail,high,"A screenshot of the OpenAI GPT 4 playground, documenting a React Component.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/ai-as-an-architect-and-content-creator.md,99,missing_alt_text,fail,critical,/media/2023/hybrid-deployment-theory-02-poc-a7602136f7.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/ai-automation-to-augmentation-at-work.md,9,missing_alt_text,fail,critical,/media/2023/salesforce-einstein-c26c4593ed.jpeg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/ai-automation-to-augmentation-at-work.md,33,missing_alt_text,fail,critical,/media/2023/sfcc-content-assets-with-ai-8805d0d3cd.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/an-overview-of-sfcc-global-functions.md,89,missing_alt_text,fail,critical,/media/2023/the-infinity-of-space-5e44ec8ec6.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/b2c-commerce-cloud-campaign-erd.md,7,missing_alt_text,fail,critical,/media/2023/salesforce-b2c-commerce-cloud-diagram-campaign-erd-4b241c1470.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/b2c-commerce-cloud-campaign-erd.md,35,missing_alt_text,fail,critical,/media/2023/campaign-store-groups-sfcc-1a646a927d.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/b2c-commerce-whats-new-in-the-22-3-release.md,3,weak_link_text,warn,medium,here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/b2c-commerce-whats-new-in-the-22-3-release.md,7,generic_alt_text,fail,high,SLDS showcase. This image shows a few example components.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/b2c-commerce-whats-new-in-the-22-3-release.md,63,generic_alt_text,fail,high,A screenshot of the documentation of bonus products.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/caching-in-the-sfcc-composable-storefront.md,77,weak_link_text,warn,medium,here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/caching-in-the-sfcc-composable-storefront.md,83,generic_alt_text,fail,high,"A screenshot of the SCAPI Server-Side Web-Tier feature toggle in the Business Manager, used to enable caching for the SCAPI endpoints.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/certifications-for-salesforce-b2c-commerce-cloud.md,35,missing_alt_text,fail,critical,/media/2022/b2c-commerce-architect-3d1b1f2f1e.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/certifications-for-salesforce-b2c-commerce-cloud.md,70,missing_alt_text,fail,critical,/media/2022/einstein-d7123b2738.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023.md,17,generic_alt_text,fail,high,Three people smiling on a picture at a breakfast meeting in San Francisco including Thomas Theunen and Amalia Murray.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023.md,45,generic_alt_text,fail,high,"A picture of the concert of the Foo Fighters at Dreamfest 2023, taken high above the stage.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/creating-custom-ocapi-endpoints.md,21,weak_link_text,warn,medium,here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/creating-custom-ocapi-endpoints.md,45,missing_alt_text,fail,critical,/media/2022/custom-api-custom-object-051e16e59a.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/creating-custom-ocapi-endpoints.md,66,missing_alt_text,fail,critical,/media/2022/manage-get-customer-object-7b88237d34.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/creating-custom-ocapi-endpoints.md,109,missing_alt_text,fail,critical,/media/2022/ocapi-settings-46b5f9c8b0.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/creating-custom-ocapi-endpoints.md,231,missing_alt_text,fail,critical,/media/2022/get-customer-custom-api-response-a6c8902585.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/creating-custom-ocapi-endpoints.md,239,missing_alt_text,fail,critical,/media/2022/postman-variables-custom-api-ec0a89ffce.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/custom-ttf-fonts-in-pdf-for-sfcc.md,80,generic_alt_text,fail,high,A screenshot of a generated PDF showing different fonts.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/delta-exports-in-salesforce-b2c-commerce-cloud.md,32,missing_alt_text,fail,critical,/media/2023/delta-jobs-overview-dccafc63a7.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/delta-exports-in-salesforce-b2c-commerce-cloud.md,38,missing_alt_text,fail,critical,/media/2023/delta-job-selection-718f8a1686.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/delta-exports-in-salesforce-b2c-commerce-cloud.md,50,weak_link_text,warn,medium,here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/delta-exports-in-salesforce-b2c-commerce-cloud.md,54,missing_alt_text,fail,critical,/media/2023/delta-job-schedule-1c300976ae.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/delta-exports-in-salesforce-b2c-commerce-cloud.md,60,missing_alt_text,fail,critical,/media/2023/history-70bccb6f6f.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/delta-exports-in-salesforce-b2c-commerce-cloud.md,68,missing_alt_text,fail,critical,/media/2023/delta-job-consumer-867e8bc380.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/delta-exports-in-salesforce-b2c-commerce-cloud.md,78,missing_alt_text,fail,critical,/media/2023/delta-job-status-9552cad99f.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/digging-into-the-b2c-commerce-cloud-24-3-release.md,3,weak_link_text,warn,medium,Click here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/digging-into-the-b2c-commerce-cloud-24-3-release.md,9,generic_alt_text,fail,high,"A screenshot of the Business Manager basket preferences is displayed, featuring a new 200 default option for product line items.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/digging-into-the-b2c-commerce-cloud-24-3-release.md,35,generic_alt_text,fail,high,"A screenshot of the Business Manager showing all different options on where to show certain notifications: Banner, Header, or Homepage",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/events-and-the-golden-hoodie.md,53,missing_alt_text,fail,critical,/media/2022/salesforce-live-belgium-bba64ad521.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/everything-new-in-sfcc-23-4.md,3,weak_link_text,warn,medium,Click here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/field-guide-to-custom-caches-in-sfcc.md,45,generic_alt_text,fail,high,"Image Alt Text: A friendly cartoon character in a flat vector style, building a data cache from a blueprint, with vibrant data lines flowing into the structure.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/field-guide-to-custom-caches-in-sfcc.md,87,generic_alt_text,fail,high,"A screenshot of the ""Administration > Operations > Custom Caches"" screen in the business manager.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/get-connected-at-salesforce-connections-2022.md,18,missing_alt_text,fail,critical,/media/2022/offer-8124183637.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/get-connected-at-salesforce-connections-2022.md,271,missing_alt_text,fail,critical,/media/2022/cnx-hp-band-one-republic-23e3012477.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/get-connected-at-salesforce-connections-2022.md,281,heading_level_skip,warn,medium,h2 -> h4,Heading hierarchy skips a level.,Use sequential heading levels unless a repeated page region justifies the jump.
migration/output/content/posts/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release.md,3,weak_link_text,warn,medium,Click here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/getting-to-know-sfra-as-a-developer.md,15,weak_link_text,warn,medium,here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/getting-to-know-sfra-as-a-developer.md,19,missing_alt_text,fail,critical,/media/2022/learn-commerce-cloud-67eab48d9b.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/getting-to-know-sfra-as-a-developer.md,76,generic_alt_text,fail,high,"A screenshot of the Partner Learning Camp (PLC) that shows the ""Get Started on the B2C Commerce Fast Path to Certifications: Foundations"" course.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/getting-to-know-the-sfcc-24-4-release.md,3,weak_link_text,warn,medium,Click here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/getting-to-know-the-sfcc-24-4-release.md,18,weak_link_text,warn,medium,here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/getting-to-know-the-sfcc-24-4-release.md,51,generic_alt_text,fail,high,A screenshot of the Image Picker in Page Designer showing 4 images available to select.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/getting-to-know-the-sfcc-24-4-release.md,63,generic_alt_text,fail,high,"A screenshot of the Staging Business Manager showing the link ""Embedded CDN Settings"" highlighted.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/getting-to-know-the-sfcc-24-4-release.md,71,generic_alt_text,fail,high,"A screenshot of the Searchable Attributes in the Business Manager showing the new default setting for Autocorrection to be ""No"".",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/helpful-salesforce-b2c-commerce-cloud-cartridges.md,13,generic_alt_text,fail,high,"A screenshot of the Custom Feeds interface in the Business Manager, showing a configuration for a Google Feed.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/helpful-salesforce-b2c-commerce-cloud-cartridges.md,46,generic_alt_text,fail,high,A screenshot of the Resource Manager in the business manager.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/helpful-salesforce-b2c-commerce-cloud-cartridges.md,71,missing_alt_text,fail,critical,/media/2022/page-designer-plus-9eedd5b72f.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/helpful-salesforce-b2c-commerce-cloud-cli-tools.md,37,generic_alt_text,fail,high,A screenshot of B2C Tools depicting a migration,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud.md,25,missing_alt_text,fail,critical,/media/2022/hackerman-hr-6b82b63667.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud.md,31,missing_alt_text,fail,critical,/media/2022/manipulate-form-code-compatibility-1d501b0279.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud.md,43,missing_alt_text,fail,critical,/media/2022/cartridges-webdav-88a388e63c.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud.md,47,missing_alt_text,fail,critical,/media/2022/webdav-overview-38949e23ef.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud.md,53,missing_alt_text,fail,critical,/media/2022/code-version-26171e5278.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud.md,85,missing_alt_text,fail,critical,/media/2022/new-code-version-d4f4f68888.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-filter-jsdoc-in-storybook-autodocs.md,7,generic_alt_text,fail,high,Storybook JSDocs before screenshot. We see way to much information.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/how-to-filter-jsdoc-in-storybook-autodocs.md,11,generic_alt_text,fail,high,Storybook JSDocs after screenshot. We no longer see anything except the description.,Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox.md,35,weak_link_text,warn,medium,here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox.md,65,missing_alt_text,fail,critical,/media/2022/trailhead-academy-77b0322d57.jpeg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-get-salesforce-certification-vouchers.md,5,missing_alt_text,fail,critical,/media/2023/accreditations-vs-certifications-7c6224e505.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-get-salesforce-certification-vouchers.md,15,missing_alt_text,fail,critical,/media/2023/partner-benefits-0de8d66c3b.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-set-up-the-ecdn-in-sfcc-staging.md,3,weak_link_text,warn,medium,here,Link text is too generic to stand alone reliably.,Replace the link text with a destination-specific label.
migration/output/content/posts/how-to-set-up-the-ecdn-in-sfcc-staging.md,28,generic_alt_text,fail,high,"A screenshot of the Account Manager where the ""Salesforce Commerce API"" role is assigned with the staging environment filter.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/how-to-set-up-the-ecdn-in-sfcc-staging.md,38,generic_alt_text,fail,high,"A screenshot of the Business Manager ""Salesforce Commerce API Settings"" screen showing the Short Code and Organization ID needed for the staging ecdn.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/how-to-setup-oauth-jwt-for-the-ocapi.md,43,missing_alt_text,fail,critical,/media/2022/account-manager-set-up-jwt-c2ed29ddca.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-setup-oauth-jwt-for-the-ocapi.md,62,missing_alt_text,fail,critical,/media/2022/jwt-visualized-74d5a59116.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-setup-oauth-jwt-for-the-ocapi.md,132,missing_alt_text,fail,critical,/media/2022/postman-authentication-ocapi-d973adb2eb.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-use-ocapi-scapi-hooks.md,53,missing_alt_text,fail,critical,/media/2022/26df11a8-62ec-44cd-bf3b-6ff9ab46bee8-5598d60cbd.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-use-ocapi-scapi-hooks.md,78,missing_alt_text,fail,critical,/media/2022/feature-switch-scapi-hooks-9a09bc135b.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-use-ocapi-scapi-hooks.md,140,missing_alt_text,fail,critical,/media/2022/screenshot-2022-06-01-at-20-31-35-e1654104790984-f648d18f90.png,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-use-ocapi-scapi-hooks.md,289,missing_alt_text,fail,critical,/media/2022/hooks-return-status-to-short-circuit-806c56df79.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/how-to-use-ocapi-scapi-hooks.md,293,missing_alt_text,fail,critical,/media/2022/hook-return-behaviour-91893c6015.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/image-ine-sfcc-dis-for-developers.md,30,generic_alt_text,fail,high,"A cartoon illustration of a developer shaking hands with a friendly, anthropomorphic cloud icon, as small, optimized images happily flow between them towards an e-commerce storefront. This symbolizes a strong, collaborative, and efficient relationship with the Dynamic Image Service.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/image-ine-sfcc-dis-for-developers.md,210,generic_alt_text,fail,high,"A cartoon illustration showing a fork in the road. One path leads to a cloud labeled ""Dynamic Image Service (DIS),"" and the other, larger path, leads to icons representing a ""Third Party CDN/DAM"" and ""Digital Asset Management System."" A developer character is pointing towards the CDN/DAM path, indicating a choice for image management solutions.",Markdown image alt text is generic or filename-like.,Replace the placeholder alt text with a concise description of the image purpose.
migration/output/content/posts/is-salesforce-certification-worth-it.md,17,missing_alt_text,fail,critical,/media/2022/benefit-a5b0552ef8.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/is-salesforce-certification-worth-it.md,37,missing_alt_text,fail,critical,/media/2022/you-dont-hire-for-skills-you-hire-for-attitude-you-0d3739fc5c.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/is-salesforce-certification-worth-it.md,55,missing_alt_text,fail,critical,/media/2022/reality-is-a-harsh-mistress-f67c988867.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
migration/output/content/posts/it-sure-has-been-quiet-on-this-blog.md,36,missing_alt_text,fail,critical,/media/2024/fastforward-storybook-7ad70ee20d.jpg,Markdown image is missing alt text.,"Provide descriptive alt text, or add an explicit decorative-image exception for this file and src."
