source_id,selection_scope,primary_source_type,source_channel_set,post_type,disposition,title,legacy_url,target_url,top_90_rank,top_28_rank,compatible_alias_count,has_code_blocks,has_tables,has_embedded_media,image_count,word_count,coverage_tags,notes
2770,content-backed,wxr,filesystem|wxr,post,keep,Creating custom OCAPI endpoints,/creating-custom-ocapi-endpoints/,/creating-custom-ocapi-endpoints/,8,23,0,1,,,5,1211,top-10-traffic-90d,traffic-priority candidate from Phase 1 baseline
8389,content-backed,wxr,filesystem|wxr,post,keep,Custom Preferences in Salesforce B2C Commerce Cloud: A Developer Guide,/custom-preferences-in-sfcc/,/custom-preferences-in-sfcc/,,21,0,1,,,1,648,,traffic-priority candidate from Phase 1 baseline
3042,content-backed,wxr,filesystem|wxr,post,keep,Custom TTF fonts in PDF for Salesforce B2C Commerce Cloud,/custom-ttf-fonts-in-pdf-for-sfcc/,/custom-ttf-fonts-in-pdf-for-sfcc/,13,17,0,1,,,1,515,,traffic-priority candidate from Phase 1 baseline
3089,content-backed,wxr,filesystem|wxr,post,keep,Delta exports in Salesforce B2C Commerce Cloud,/delta-exports-in-salesforce-b2c-commerce-cloud/,/delta-exports-in-salesforce-b2c-commerce-cloud/,,,1,,,,6,804,standard-article|redirect-alias-scenario,aliases:/delta-exports-in-salesforce-b2c-commerce/
11566,content-backed,wxr,filesystem|wxr,post,keep,Digging into the B2C Commerce Cloud 24.3 release,/digging-into-the-b2c-commerce-cloud-24-3-release/,/digging-into-the-b2c-commerce-cloud-24-3-release/,,,0,,,,2,1262,standard-article,
2434,content-backed,wxr,filesystem|wxr,post,keep,Events and the Golden Hoodie,/events-and-the-golden-hoodie/,/events-and-the-golden-hoodie/,,,0,,,1,2,1072,embedded-media,
7832,content-backed,wxr,filesystem|wxr,post,keep,Everything new in Salesforce B2C Commerce Cloud 23.4,/everything-new-in-sfcc-23-4/,/everything-new-in-sfcc-23-4/,,,0,,,,1,890,standard-article,
6559,content-backed,wxr,filesystem|wxr,post,keep,How do you fetch data in a different locale from Salesforce B2C Commerce Cloud?,/fetching-data-in-a-locale-with-sfcc/,/fetching-data-in-a-locale-with-sfcc/,,,0,1,,,1,414,,
13328,content-backed,wxr,filesystem|wxr,post,keep,Field Guide to Custom Caches: Wielding a Double-Edged Sword,/field-guide-to-custom-caches-in-sfcc/,/field-guide-to-custom-caches-in-sfcc/,,6,0,1,,,2,3184,top-10-traffic-28d,traffic-priority candidate from Phase 1 baseline
1845,content-backed,wxr,filesystem|wxr,post,keep,Get connected at Salesforce Connections 2022,/get-connected-at-salesforce-connections-2022/,/get-connected-at-salesforce-connections-2022/,,,0,,,,2,1801,standard-article,
11813,content-backed,wxr,wxr,post,keep,Getting secured with the 24.5 Salesforce B2C Commerce Cloud release,/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,,,0,,,,0,1335,standard-article,
972,content-backed,wxr,filesystem|wxr,post,keep,Getting to know SFRA as a developer,/getting-to-know-sfra-as-a-developer/,/getting-to-know-sfra-as-a-developer/,,,0,,,,2,674,standard-article,
11734,content-backed,wxr,filesystem|wxr,post,keep,Getting to know the SFCC 24.4 Release,/getting-to-know-the-sfcc-24-4-release/,/getting-to-know-the-sfcc-24-4-release/,,,0,1,,,3,1267,,
8853,content-backed,wxr,filesystem|wxr,post,keep,A Developer's Guide to Using the getProps Method in the PWA Kit,/guide-to-the-getprops-method-in-sfcc/,/guide-to-the-getprops-method-in-sfcc/,,,0,1,,,1,1067,,
4836,content-backed,wxr,wxr,page,keep,Headless,/headless/,/headless/,,,0,,,1,0,103,embedded-media|page,
656,content-backed,wxr,filesystem|wxr,post,keep,Helpful Salesforce B2C Commerce Cloud Cartridges,/helpful-salesforce-b2c-commerce-cloud-cartridges/,/helpful-salesforce-b2c-commerce-cloud-cartridges/,,,0,,,,4,940,standard-article,
705,content-backed,wxr,filesystem|wxr,post,keep,Helpful Salesforce B2C Commerce Cloud CLI tools,/helpful-salesforce-b2c-commerce-cloud-cli-tools/,/helpful-salesforce-b2c-commerce-cloud-cli-tools/,,,0,,,,1,574,standard-article,
5742,content-backed,wxr,filesystem|wxr,post,keep,How to change the code Compatibility Mode in Salesforce B2C Commerce Cloud,/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud/,/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud/,,,0,1,,,6,623,,
4411,content-backed,wxr,filesystem|wxr,post,keep,How to extend Active Data in Salesforce B2C Commerce Cloud,/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,23,,0,1,,,7,853,,traffic-priority candidate from Phase 1 baseline
9752,content-backed,wxr,filesystem|wxr,post,keep,How to filter JSDoc in Storybook Autodocs,/how-to-filter-jsdoc-in-storybook-autodocs/,/how-to-filter-jsdoc-in-storybook-autodocs/,,,0,1,,,2,215,,
528,content-backed,wxr,filesystem|wxr,post,keep,How to get a Salesforce B2C Commerce Cloud Sandbox,/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/,/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/,10,13,0,,,,1,717,standard-article|top-10-traffic-90d,traffic-priority candidate from Phase 1 baseline
2978,content-backed,wxr,filesystem|wxr,post,keep,How to get Salesforce certification vouchers,/how-to-get-salesforce-certification-vouchers/,/how-to-get-salesforce-certification-vouchers/,,,0,,,,3,488,standard-article,
6585,content-backed,wxr,filesystem|wxr,post,keep,How to load client-side JavaScript and CSS in SFRA,/how-to-load-client-side-javascript-and-css-in-sfra/,/how-to-load-client-side-javascript-and-css-in-sfra/,20,,0,1,,,1,563,,traffic-priority candidate from Phase 1 baseline
6429,content-backed,wxr,filesystem|wxr,post,keep,How to set up SLAS for the Composable Storefront,/how-to-set-up-slas-for-the-composable-storefront/,/how-to-set-up-slas-for-the-composable-storefront/,12,11,0,1,,,8,1000,,traffic-priority candidate from Phase 1 baseline
5618,content-backed,wxr,filesystem|wxr,post,keep,How to set up the eCDN for Staging in Salesforce B2C Commerce Cloud,/how-to-set-up-the-ecdn-in-sfcc-staging/,/how-to-set-up-the-ecdn-in-sfcc-staging/,,,0,1,,,2,1179,,
2536,content-backed,wxr,filesystem|wxr,post,keep,How to setup OAuth JWT for the OCAPI,/how-to-setup-oauth-jwt-for-the-ocapi/,/how-to-setup-oauth-jwt-for-the-ocapi/,24,,0,1,,,3,684,,traffic-priority candidate from Phase 1 baseline
9537,content-backed,wxr,filesystem|wxr,post,keep,SFRA and Node 18: A Match Made in eCommerce Paradise or Hell?,/how-to-use-node-18-with-sfra/,/how-to-use-node-18-with-sfra/,,,0,1,,,2,579,,
2265,content-backed,wxr,filesystem|wxr,post,keep,The OCAPI/SCAPI Hooks Playbook: A Deep Dive into Salesforce B2C Commerce Best Practices,/how-to-use-ocapi-scapi-hooks/,/how-to-use-ocapi-scapi-hooks/,2,3,0,1,,,5,793,top-10-traffic-90d|top-10-traffic-28d,traffic-priority candidate from Phase 1 baseline
365,content-backed,wxr,wxr,page,keep,Ideas,/ideas/,/ideas/,,,0,,,,0,82,page,
376,content-backed,wxr,filesystem|wxr,page,keep,Page Designer: Add ability to copy/paste components,/ideas/page-designer-add-ability-to-copy-paste-components/,/ideas/page-designer-add-ability-to-copy-paste-components/,,,0,,,,1,169,page,
407,content-backed,wxr,filesystem|wxr,page,keep,Page Designer: Dynamic Pages - Optional Subcategories,/ideas/page-designer-dynamic-pages-optional-subcategories/,/ideas/page-designer-dynamic-pages-optional-subcategories/,,,0,,,,1,267,page,
13242,content-backed,wxr,filesystem|wxr,post,keep,Image-ine: Salesforce B2C Commerce Cloud DIS for Developers,/image-ine-sfcc-dis-for-developers/,/image-ine-sfcc-dis-for-developers/,,20,0,1,,,3,2376,,traffic-priority candidate from Phase 1 baseline
11658,content-backed,wxr,filesystem|wxr,post,keep,In the ring: OCAPI versus SCAPI,/in-the-ring-ocapi-versus-scapi/,/in-the-ring-ocapi-versus-scapi/,3,15,0,,,,1,1006,standard-article|top-10-traffic-90d,traffic-priority candidate from Phase 1 baseline
4863,content-backed,wxr,wxr,page,keep,Inside the Ohana,/inside-the-ohana/,/inside-the-ohana/,,,0,,,1,0,22,embedded-media|page,
1061,content-backed,wxr,filesystem|wxr,post,keep,Is Salesforce Certification worth it?,/is-salesforce-certification-worth-it/,/is-salesforce-certification-worth-it/,,,0,,,,3,1425,standard-article,
12087,content-backed,wxr,filesystem|wxr,post,keep,It sure has been quiet on this blog.,/it-sure-has-been-quiet-on-this-blog/,/it-sure-has-been-quiet-on-this-blog/,,,0,,,,2,840,standard-article,
13621,content-backed,wxr,filesystem|wxr,post,keep,The Kickstart Guide for New Salesforce B2C Commerce Developers,/kickstart-guide-for-new-sfcc-developers/,/kickstart-guide-for-new-sfcc-developers/,,12,0,,,,1,3819,standard-article,traffic-priority candidate from Phase 1 baseline
12990,content-backed,wxr,filesystem|wxr,post,keep,From Lag to Riches: A PWA Kit Developer's Guide to Storefront Speed,/lag-to-riches-a-pwa-kit-developers-guide/,/lag-to-riches-a-pwa-kit-developers-guide/,,1,0,,1,,4,4001,top-10-traffic-28d,traffic-priority candidate from Phase 1 baseline
3895,content-backed,wxr,filesystem|wxr,post,keep,Let’s GO-LIVE: Customer Migration,/lets-go-live-customer-migration/,/lets-go-live-customer-migration/,,,0,,,,2,730,standard-article,
1207,content-backed,wxr,filesystem|wxr,post,keep,Let's GO-LIVE: eCDN,/lets-go-live-ecdn/,/lets-go-live-ecdn/,,,0,1,,,13,1634,,
2517,content-backed,wxr,wxr,post,keep,Let's GO-LIVE: SEO,/lets-go-live-seo/,/lets-go-live-seo/,,,0,,,,0,786,standard-article,
10587,content-backed,wxr,filesystem|wxr,post,keep,Leveraging Generic Mapping for Efficient Data Integration,/leveraging-generic-mappings-in-sfcc/,/leveraging-generic-mappings-in-sfcc/,,,0,1,,,2,752,,
6992,content-backed,wxr,filesystem|wxr,post,keep,Life is about choices,/life-is-about-choices/,/life-is-about-choices/,,,0,,,,3,666,standard-article,
4854,content-backed,wxr,wxr,page,keep,Life With Goldie,/life-with-goldie/,/life-with-goldie/,,,0,,,1,0,153,embedded-media|page,
12891,content-backed,wxr,filesystem|wxr,post,keep,Local vs Shared Variation Attributes in Commerce Cloud,/local-vs-shared-variation-attributes-sfcc/,/local-vs-shared-variation-attributes-sfcc/,,,0,1,,,3,883,,
431,content-backed,wxr,filesystem|wxr,post,keep,Mail Attachments in B2C Commerce Cloud,/mail-attachments-in-b2c-commerce-cloud/,/mail-attachments-in-b2c-commerce-cloud/,,,0,1,,,1,2334,,
10642,content-backed,wxr,filesystem|wxr,post,keep,Mastering Chunk-Oriented Job Steps in Salesforce B2C Commerce Cloud,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,4,5,0,1,,,3,1048,top-10-traffic-90d|top-10-traffic-28d,traffic-priority candidate from Phase 1 baseline
12947,content-backed,wxr,filesystem|wxr,post,keep,Mastering Sitemaps in Salesforce B2C Commerce: A Developer's Guide,/mastering-sitemaps-in-sfcc/,/mastering-sitemaps-in-sfcc/,,9,0,,1,,3,1345,top-10-traffic-28d,traffic-priority candidate from Phase 1 baseline
4801,content-backed,wxr,wxr,page,keep,"Me, Myself, and Headless: A Composable Commerce Cloud story",/me-myself-and-headless-a-composable-commerce-cloud-story/,/me-myself-and-headless-a-composable-commerce-cloud-story/,,,0,,,1,0,110,embedded-media|page,
11710,content-backed,wxr,wxr,post,keep,How to migrate passwords from Magento using Argon2,/migrate-magento-passwords-using-argon2/,/migrate-magento-passwords-using-argon2/,,,0,1,,,0,488,,
9027,content-backed,wxr,filesystem|wxr,post,keep,"Navigating Dates, Calendars, and Timezones in Salesforce B2C Commerce Cloud",/navigating-dates-calendars-in-sfcc/,/navigating-dates-calendars-in-sfcc/,,,0,1,,,3,907,,
10453,content-backed,wxr,filesystem|wxr,post,keep,New APIs and Features for a Headless B2C Commerce Cloud,/new-apis-and-features-for-a-headless-sfcc/,/new-apis-and-features-for-a-headless-sfcc/,,,0,,,,1,747,standard-article,
2688,content-backed,wxr,filesystem|wxr,post,keep,Salesforce B2C Commerce Certifications for Non-Technical Professionals,/non-technical-sfcc-certifications/,/non-technical-sfcc-certifications/,,,0,,,,6,1157,standard-article,
2082,content-backed,wxr,wxr,post,keep,Office Hours for Salesforce B2C Commerce Cloud,/office-hours-for-salesforce-b2c-commerce-cloud/,/office-hours-for-salesforce-b2c-commerce-cloud/,,,0,,,,0,647,standard-article,
5591,content-backed,wxr,wxr,page,keep,Offline,/offline/,/offline/,,,0,,,,0,24,page,
133,content-backed,wxr,filesystem|wxr,post,keep,PDF And Salesforce B2C Commerce Cloud,/pdf-and-salesforce-commerce-cloud-b2c/,/pdf-and-salesforce-commerce-cloud-b2c/,,,0,,,,1,1383,standard-article,
1869,content-backed,wxr,wxr,post,keep,Podcasts about Salesforce B2C Commerce Cloud,/podcasts-for-salesforce-b2c-commerce-cloud/,/podcasts-for-salesforce-b2c-commerce-cloud/,,,0,,,,0,951,standard-article,
1011,content-backed,wxr,wxr,post,keep,Preparing for the B2C Commerce Developer Certification,/preparing-for-the-b2c-commerce-developer-certification/,/preparing-for-the-b2c-commerce-developer-certification/,,,0,,,,0,1351,standard-article,
3,content-backed,wxr,wxr,page,keep,Privacy Policy,/privacy-policy/,/privacy-policy/,,,0,,,,0,594,page,
14050,content-backed,wxr,filesystem|wxr,post,keep,Taming Real-Time Inventory Checks in Salesforce B2C Commerce Cloud,/real-time-inventory-checks-in-sfcc/,/real-time-inventory-checks-in-sfcc/,,,0,,,,3,2218,standard-article,
11627,content-backed,wxr,filesystem|wxr,post,keep,Reflecting on Two Years of Blogging: My Journey in the SFCC Ecosystem,/reflecting-on-2-years-of-blogging/,/reflecting-on-2-years-of-blogging/,,,0,,,,2,659,standard-article,
4950,content-backed,wxr,filesystem|wxr,post,keep,Salesforce B2C Commerce Cloud 22.10,/salesforce-b2c-commerce-cloud-22-10/,/salesforce-b2c-commerce-cloud-22-10/,,,0,1,,,6,1138,,
2942,content-backed,wxr,filesystem|wxr,post,keep,Salesforce B2C Commerce Cloud 22.8,/salesforce-b2c-commerce-cloud-22-8/,/salesforce-b2c-commerce-cloud-22-8/,,,0,1,1,,4,1640,long-form-code-table,
4229,content-backed,wxr,filesystem|wxr,post,keep,Salesforce B2C Commerce Cloud 22.9 release,/salesforce-b2c-commerce-cloud-22-9-release/,/salesforce-b2c-commerce-cloud-22-9-release/,,,0,,,1,2,718,embedded-media,
6042,content-backed,wxr,filesystem|wxr,post,keep,Salesforce B2C Commerce Cloud 23.1,/salesforce-b2c-commerce-cloud-23-1/,/salesforce-b2c-commerce-cloud-23-1/,,,0,1,,,2,1012,,
10175,content-backed,wxr,filesystem|wxr,post,keep,Salesforce B2C Commerce Cloud 23.10 Release: A Comprehensive Overview,/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/,/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/,,,0,,,,2,1196,standard-article,
6792,content-backed,wxr,filesystem|wxr,post,keep,Salesforce B2C Commerce Cloud 23.2,/salesforce-b2c-commerce-cloud-23-2/,/salesforce-b2c-commerce-cloud-23-2/,,,0,1,,,4,1809,,
7230,content-backed,wxr,filesystem|wxr,post,keep,The Salesforce B2C Commerce Cloud 23.3 release explained,/salesforce-b2c-commerce-cloud-23-3-release/,/salesforce-b2c-commerce-cloud-23-3-release/,,,0,,,,2,1574,standard-article,
3766,content-backed,wxr,filesystem|wxr,post,keep,Salesforce B2C Commerce Cloud Product And Catalog ERD,/salesforce-b2c-commerce-cloud-catalog-erd/,/salesforce-b2c-commerce-cloud-catalog-erd/,,,0,,,,1,607,standard-article,
3806,content-backed,wxr,filesystem|wxr,post,keep,Salesforce B2C Commerce Cloud Content ERD,/salesforce-b2c-commerce-cloud-content-erd/,/salesforce-b2c-commerce-cloud-content-erd/,,,0,,,,1,223,standard-article,
3712,content-backed,wxr,filesystem|wxr,post,keep,Salesforce B2C Commerce Cloud Customer ERD,/salesforce-b2c-commerce-cloud-customer-erd/,/salesforce-b2c-commerce-cloud-customer-erd/,,,0,,,,1,253,standard-article,
805,content-backed,wxr,filesystem|wxr,post,keep,Salesforce B2C Commerce Cloud Documentation,/salesforce-b2c-commerce-cloud-documentation/,/salesforce-b2c-commerce-cloud-documentation/,,19,0,,1,,3,1341,,traffic-priority candidate from Phase 1 baseline
7485,content-backed,wxr,filesystem|wxr,page,keep,The Salesforce B2C Commerce Cloud Data Model explained,/salesforce-b2c-commerce-cloud-erd/,/salesforce-b2c-commerce-cloud-erd/,22,,0,,,,1,516,page,traffic-priority candidate from Phase 1 baseline
5406,content-backed,wxr,filesystem|wxr,post,keep,Salesforce B2C Commerce Cloud Governance and Quotas,/salesforce-b2c-commerce-cloud-governance-and-quotas/,/salesforce-b2c-commerce-cloud-governance-and-quotas/,15,,0,1,,,5,1572,,traffic-priority candidate from Phase 1 baseline
