audit_id,audit_run_id,audit_date,article_url,source_file,signals,live_h1,local_h1,text_similarity,heading_similarity,code_similarity,baseline_delta_status,manual_verification_status,overall_result,severity,finding_classification,summary,recommended_action,evidence
RHI-RERUN-011,phase-8-rerun-2026-03-16,2026-03-16,/a-new-day-for-commerce-recap/,src/content/posts/a-new-day-for-commerce-recap/index.md,community|events|body-parity,A New Day for Commerce: Recap,A New Day for Commerce: Recap,0.901,0.692,1.000,regressed,automated,pass,none,structure-only-drift,Only heading-set differences were detected; no code drift or reader-visible raw-URL drift was found.,No immediate action required unless heading structure must match live exactly.,heading drift 0.692
RHI-RERUN-012,phase-8-rerun-2026-03-16,2026-03-16,/a-survival-guide-to-sfcc-platform-limits/,src/content/posts/a-survival-guide-to-sfcc-platform-limits/index.md,longform,The SFCC Quota Gauntlet: A Developer’s Survival Guide to the Top Platform Limits,Survival Guide to SFCC Platform Limits,0.946,1.000,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,"The body is stable, but the local H1 differs materially from the live article title.",Decide whether to keep the rewritten local H1 or align it to the live article headline.,Live H1: The SFCC Quota Gauntlet: A Developer’s Survival Guide to the Top Platform Limits; Local H1: Survival Guide to SFCC Platform Limits; text_similarity=0.946; code_similarity=1.
RHI-RERUN-013,phase-8-rerun-2026-03-16,2026-03-16,/ai-as-an-architect-and-content-creator/,src/content/posts/ai-as-an-architect-and-content-creator/index.md,community|ai|title-drift,Mastering the Power of AI: Leveraging Technology as an Architect and Content Creator,AI as an Architect and Content Creator,0.951,1.000,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,"The body is stable, but the local H1 differs materially from the live article title.",Decide whether to keep the rewritten local H1 or align it to the live article headline.,Live H1: Mastering the Power of AI: Leveraging Technology as an Architect and Content Creator; Local H1: AI as an Architect and Content Creator; text_similarity=0.951; code_similarity=1.
RHI-RERUN-014,phase-8-rerun-2026-03-16,2026-03-16,/ai-automation-to-augmentation-at-work/,src/content/posts/ai-automation-to-augmentation-at-work/index.md,community|ai|body-parity,AI Automation to Augmentation: Its new role in the workplace,AI Automation to Augmentation: Its new role in the workplace,0.959,0.714,1.000,regressed,automated,pass,none,structure-only-drift,Only heading-set differences were detected; no code drift or reader-visible raw-URL drift was found.,No immediate action required unless heading structure must match live exactly.,heading drift 0.714
RHI-RERUN-015,phase-8-rerun-2026-03-16,2026-03-16,/ai-einstein-in-salesforce-b2c-commerce-cloud/,src/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud/index.md,ai|product-overview|body-parity,AI (Einstein) in Salesforce B2C Commerce Cloud,AI (Einstein) in Salesforce B2C Commerce Cloud,0.890,1.000,1.000,regressed,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.89; heading_similarity=1; code_similarity=1; raw_url_diff=0.
RHI-RERUN-016,phase-8-rerun-2026-03-16,2026-03-16,/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,src/content/posts/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/index.md,community|ai|title-drift,"AI Won’t Steal Your SFCC Job, But a Developer Using AI Will: The Rhino Inquisitor’s Survival Guide","AI Won't Replace Your SFCC Job, but AI Users Might",0.965,1.000,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,"The body is stable, but the local H1 differs materially from the live article title.",Decide whether to keep the rewritten local H1 or align it to the live article headline.,"Live H1: AI Won’t Steal Your SFCC Job, But a Developer Using AI Will: The Rhino Inquisitor’s Survival Guide; Local H1: AI Won't Replace Your SFCC Job, but AI Users Might; text_similarity=0.965; code_similarity=1."
RHI-RERUN-017,phase-8-rerun-2026-03-16,2026-03-16,/an-overview-of-sfcc-global-functions/,src/content/posts/an-overview-of-sfcc-global-functions/index.md,code-heavy|api-reference,A Comprehensive Overview of Server-Side Global Functions in Salesforce B2C Commerce Cloud,SFCC Global Functions Overview,0.987,1.000,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,"The body is stable, but the local H1 differs materially from the live article title.",Decide whether to keep the rewritten local H1 or align it to the live article headline.,Live H1: A Comprehensive Overview of Server-Side Global Functions in Salesforce B2C Commerce Cloud; Local H1: SFCC Global Functions Overview; text_similarity=0.987; code_similarity=1.
RHI-RERUN-018,phase-8-rerun-2026-03-16,2026-03-16,/b2c-commerce-cloud-campaign-erd/,src/content/posts/b2c-commerce-cloud-campaign-erd/index.md,code-heavy|xsd-snippets|erd,Campaign ERD of Salesforce B2C Commerce Cloud,Campaign ERD of Salesforce B2C Commerce Cloud,0.949,0.600,1.000,regressed,deterministic,needs-review,medium,presentation-raw-url-drift,The local article exposes visible raw URLs that are not visible in the live article body.,Replace bare visible URLs with linked prose or confirm that the local exposure is intentional.,local-only visible URLs: https://www.rhino-inquisitor.com/wp-content/uploads/2023/02/campaign-store-groups-sfcc-2023-v2.mov
RHI-RERUN-019,phase-8-rerun-2026-03-16,2026-03-16,/b2c-commerce-whats-new-in-22-4/,src/content/posts/b2c-commerce-whats-new-in-22-4/index.md,release-notes|punctuation-normalization,B2C Commerce: What’s New In 22.4,B2C Commerce: What's New In 22.4,0.887,0.929,1.000,regressed,automated-flag,needs-review,medium,body-text-review,The overall body text similarity dropped enough to warrant a manual content review.,Review the rendered body paragraphs and callouts against live to confirm whether the drift is acceptable.,moderate text similarity 0.887
RHI-RERUN-020,phase-8-rerun-2026-03-16,2026-03-16,/b2c-commerce-whats-new-in-the-22-3-release/,src/content/posts/b2c-commerce-whats-new-in-the-22-3-release/index.md,release-notes|punctuation-normalization,B2C Commerce: What’s new in the 22.3 release,B2C Commerce: What's new in the 22.3 release,0.876,0.556,1.000,regressed,automated-flag,needs-review,medium,body-text-review,The overall body text similarity dropped enough to warrant a manual content review.,Review the rendered body paragraphs and callouts against live to confirm whether the drift is acceptable.,moderate text similarity 0.876; heading drift 0.556
RHI-RERUN-021,phase-8-rerun-2026-03-16,2026-03-16,/caching-in-the-sfcc-composable-storefront/,src/content/posts/caching-in-the-sfcc-composable-storefront/index.md,code-heavy|caching,Caching in the Salesforce Composable Storefront,Caching in the Salesforce Composable Storefront,0.931,0.800,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.931; heading_similarity=0.8; code_similarity=1; raw_url_diff=0.
RHI-RERUN-022,phase-8-rerun-2026-03-16,2026-03-16,/caching-rest-apis-in-sfcc/,src/content/posts/caching-rest-apis-in-sfcc/index.md,code-heavy|ocapi|scapi,Leveraging Server-Side Caching to Improve SFCC REST API Speed,Server-Side Caching for Faster SFCC REST APIs,0.909,0.600,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,The strongest remaining difference is the local H1 rewrite.,Decide whether to keep the rewritten local H1 or align it to the live article headline.,Live H1: Leveraging Server-Side Caching to Improve SFCC REST API Speed; Local H1: Server-Side Caching for Faster SFCC REST APIs; additional signals: heading drift 0.600.
RHI-RERUN-023,phase-8-rerun-2026-03-16,2026-03-16,/certifications-for-salesforce-b2c-commerce-cloud/,src/content/posts/certifications-for-salesforce-b2c-commerce-cloud/index.md,certification|body-parity,Certifications for Salesforce B2C Commerce Cloud,Certifications for Salesforce B2C Commerce Cloud,0.914,0.778,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.914; heading_similarity=0.778; code_similarity=1; raw_url_diff=0.
RHI-RERUN-024,phase-8-rerun-2026-03-16,2026-03-16,/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,src/content/posts/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/index.md,community|events|title-drift,Chasing Clouds & Catching Up with the #CommerceCrew at Dreamforce 2023,Dreamforce 2023 Recap with the CommerceCrew,0.978,0.667,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,The strongest remaining difference is the local H1 rewrite.,Decide whether to keep the rewritten local H1 or align it to the live article headline.,Live H1: Chasing Clouds & Catching Up with the #CommerceCrew at Dreamforce 2023; Local H1: Dreamforce 2023 Recap with the CommerceCrew; additional signals: heading drift 0.667.
RHI-RERUN-025,phase-8-rerun-2026-03-16,2026-03-16,/commerce-cloud-t-shirts-on-shirtforce/,src/content/posts/commerce-cloud-t-shirts-on-shirtforce/index.md,community|body-parity,Commerce Cloud t-shirts on #shirtforce,Commerce Cloud t-shirts on #shirtforce,0.949,0.778,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.949; heading_similarity=0.778; code_similarity=1; raw_url_diff=0.
RHI-RERUN-026,phase-8-rerun-2026-03-16,2026-03-16,/community-salesforce-events-and-commerce-cloud/,src/content/posts/community-salesforce-events-and-commerce-cloud/index.md,code-light|community|media-links,Community Salesforce Events and Commerce Cloud,Community Salesforce Events and Commerce Cloud,0.927,0.474,1.000,regressed,automated,pass,none,structure-only-drift,Only heading-set differences were detected; no code drift or reader-visible raw-URL drift was found.,No immediate action required unless heading structure must match live exactly.,heading drift 0.474
RHI-RERUN-027,phase-8-rerun-2026-03-16,2026-03-16,/creating-custom-ocapi-endpoints/,src/content/posts/creating-custom-ocapi-endpoints/index.md,code-heavy|deprecation-note,Creating custom OCAPI endpoints,Creating custom OCAPI endpoints,0.902,0.692,1.000,regressed,automated,pass,none,structure-only-drift,Only heading-set differences were detected; no code drift or reader-visible raw-URL drift was found.,No immediate action required unless heading structure must match live exactly.,heading drift 0.692
RHI-RERUN-028,phase-8-rerun-2026-03-16,2026-03-16,/custom-preferences-in-sfcc/,src/content/posts/custom-preferences-in-sfcc/index.md,code-heavy|sfcc-script|configuration,Custom Preferences in Salesforce B2C Commerce Cloud: A Developer Guide,Using Custom Preferences in SFCC,0.957,1.000,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,"The body is stable, but the local H1 differs materially from the live article title.",Decide whether to keep the rewritten local H1 or align it to the live article headline.,Live H1: Custom Preferences in Salesforce B2C Commerce Cloud: A Developer Guide; Local H1: Using Custom Preferences in SFCC; text_similarity=0.957; code_similarity=1.
RHI-RERUN-029,phase-8-rerun-2026-03-16,2026-03-16,/custom-ttf-fonts-in-pdf-for-sfcc/,src/content/posts/custom-ttf-fonts-in-pdf-for-sfcc/index.md,code-heavy|pdf|font-config,Custom TTF fonts in PDF for Salesforce B2C Commerce Cloud,Custom TTF fonts in PDF for Salesforce B2C Commerce Cloud,0.948,0.400,1.000,regressed,automated,pass,none,structure-only-drift,Only heading-set differences were detected; no code drift or reader-visible raw-URL drift was found.,No immediate action required unless heading structure must match live exactly.,heading drift 0.400
RHI-RERUN-030,phase-8-rerun-2026-03-16,2026-03-16,/delta-exports-in-salesforce-b2c-commerce-cloud/,src/content/posts/delta-exports-in-salesforce-b2c-commerce-cloud/index.md,operations|exports|body-parity,Delta exports in Salesforce B2C Commerce Cloud,Delta exports in Salesforce B2C Commerce Cloud,0.914,1.000,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.914; heading_similarity=1; code_similarity=1; raw_url_diff=0.
RHI-RERUN-031,phase-8-rerun-2026-03-16,2026-03-16,/digging-into-the-b2c-commerce-cloud-24-3-release/,src/content/posts/digging-into-the-b2c-commerce-cloud-24-3-release/index.md,release-notes|editorial-drift,Digging into the B2C Commerce Cloud 24.3 release,Digging into the B2C Commerce Cloud 24.3 release,0.946,1.000,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.946; heading_similarity=1; code_similarity=1; raw_url_diff=0.
RHI-RERUN-032,phase-8-rerun-2026-03-16,2026-03-16,/events-and-the-golden-hoodie/,src/content/posts/events-and-the-golden-hoodie/index.md,code-light|community|longform,Events and the Golden Hoodie,Events and the Golden Hoodie,0.915,0.636,1.000,regressed,automated,pass,none,structure-only-drift,Only heading-set differences were detected; no code drift or reader-visible raw-URL drift was found.,No immediate action required unless heading structure must match live exactly.,heading drift 0.636
RHI-RERUN-033,phase-8-rerun-2026-03-16,2026-03-16,/everything-new-in-sfcc-23-4/,src/content/posts/everything-new-in-sfcc-23-4/index.md,release-notes|plugin-slas|code-light,Everything new in Salesforce B2C Commerce Cloud 23.4,Everything new in Salesforce B2C Commerce Cloud 23.4,0.938,1.000,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.938; heading_similarity=1; code_similarity=1; raw_url_diff=0.
RHI-RERUN-034,phase-8-rerun-2026-03-16,2026-03-16,/fetching-data-in-a-locale-with-sfcc/,src/content/posts/fetching-data-in-a-locale-with-sfcc/index.md,code-heavy|locale|scapi-placeholders,How do you fetch data in a different locale from Salesforce B2C Commerce Cloud?,Fetch Data in Another Locale with SFCC,0.926,1.000,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,"The body is stable, but the local H1 differs materially from the live article title.",Decide whether to keep the rewritten local H1 or align it to the live article headline.,Live H1: How do you fetch data in a different locale from Salesforce B2C Commerce Cloud?; Local H1: Fetch Data in Another Locale with SFCC; text_similarity=0.926; code_similarity=1.
RHI-RERUN-035,phase-8-rerun-2026-03-16,2026-03-16,/field-guide-to-custom-caches-in-sfcc/,src/content/posts/field-guide-to-custom-caches-in-sfcc/index.md,code-heavy|longform,Field Guide to Custom Caches: Wielding a Double-Edged Sword,Field Guide to Custom Caches: Wielding a Double-Edged Sword,0.914,1.000,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.914; heading_similarity=1; code_similarity=1; raw_url_diff=0.
RHI-RERUN-036,phase-8-rerun-2026-03-16,2026-03-16,/get-connected-at-salesforce-connections-2022/,src/content/posts/get-connected-at-salesforce-connections-2022/index.md,community|events|body-parity,Get connected at Salesforce Connections 2022,Get connected at Salesforce Connections 2022,0.977,0.935,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.977; heading_similarity=0.935; code_similarity=1; raw_url_diff=0.
RHI-RERUN-037,phase-8-rerun-2026-03-16,2026-03-16,/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,src/content/posts/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/index.md,release-notes|title-drift|security,Getting secured with the 24.5 Salesforce B2C Commerce Cloud release,What's New in the SFCC 24.5 Security Release,0.943,1.000,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,"The body is stable, but the local H1 differs materially from the live article title.",Decide whether to keep the rewritten local H1 or align it to the live article headline.,Live H1: Getting secured with the 24.5 Salesforce B2C Commerce Cloud release; Local H1: What's New in the SFCC 24.5 Security Release; text_similarity=0.943; code_similarity=1.
RHI-RERUN-038,phase-8-rerun-2026-03-16,2026-03-16,/getting-to-know-sfra-as-a-developer/,src/content/posts/getting-to-know-sfra-as-a-developer/index.md,onboarding|sfra|content-insertions,Getting to know SFRA as a developer,Getting to know SFRA as a developer,0.829,1.000,1.000,regressed,automated-flag,needs-review,medium,body-text-review,The overall body text similarity dropped enough to warrant a manual content review.,Review the rendered body paragraphs and callouts against live to confirm whether the drift is acceptable.,moderate text similarity 0.829
RHI-RERUN-039,phase-8-rerun-2026-03-16,2026-03-16,/getting-to-know-the-sfcc-24-4-release/,src/content/posts/getting-to-know-the-sfcc-24-4-release/index.md,release-notes|api-errors|header-tokens,Getting to know the SFCC 24.4 Release,Getting to know the SFCC 24.4 Release,0.929,1.000,0.956,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.929; heading_similarity=1; code_similarity=0.956; raw_url_diff=0.
RHI-RERUN-040,phase-8-rerun-2026-03-16,2026-03-16,/guide-to-the-getprops-method-in-sfcc/,src/content/posts/guide-to-the-getprops-method-in-sfcc/index.md,code-heavy|jsx,A Developer’s Guide to Using the getProps Method in the PWA Kit,A Developer’s Guide to Using the getProps Method in the PWA Kit,0.922,0.867,0.955,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.922; heading_similarity=0.867; code_similarity=0.955; raw_url_diff=0.
RHI-RERUN-041,phase-8-rerun-2026-03-16,2026-03-16,/helpful-salesforce-b2c-commerce-cloud-cartridges/,src/content/posts/helpful-salesforce-b2c-commerce-cloud-cartridges/index.md,code-light|cartridges|plugin-slas,Helpful Salesforce B2C Commerce Cloud Cartridges,Helpful Salesforce B2C Commerce Cloud Cartridges,0.868,1.000,1.000,regressed,automated-flag,needs-review,medium,body-text-review,The overall body text similarity dropped enough to warrant a manual content review.,Review the rendered body paragraphs and callouts against live to confirm whether the drift is acceptable.,moderate text similarity 0.868
RHI-RERUN-042,phase-8-rerun-2026-03-16,2026-03-16,/helpful-salesforce-b2c-commerce-cloud-cli-tools/,src/content/posts/helpful-salesforce-b2c-commerce-cloud-cli-tools/index.md,code-light|image-light,Helpful Salesforce B2C Commerce Cloud CLI tools,Helpful Salesforce B2C Commerce Cloud CLI tools,0.932,1.000,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.932; heading_similarity=1; code_similarity=1; raw_url_diff=0.
RHI-RERUN-043,phase-8-rerun-2026-03-16,2026-03-16,/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud/,src/content/posts/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud/index.md,code-heavy|platform-settings,How to change the code Compatibility Mode in Salesforce B2C Commerce Cloud,Change Code Compatibility Mode in SFCC,0.973,1.000,1.000,regressed,deterministic,needs-review,medium,title-h1-drift,"The body is stable, but the local H1 differs materially from the live article title.",Decide whether to keep the rewritten local H1 or align it to the live article headline.,Live H1: How to change the code Compatibility Mode in Salesforce B2C Commerce Cloud; Local H1: Change Code Compatibility Mode in SFCC; text_similarity=0.973; code_similarity=1.
RHI-RERUN-044,phase-8-rerun-2026-03-16,2026-03-16,/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,src/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/index.md,code-heavy|active-data|inline-tags,How to extend Active Data in Salesforce B2C Commerce Cloud,How to extend Active Data in Salesforce B2C Commerce Cloud,0.933,0.600,0.974,regressed,automated,pass,none,structure-only-drift,Only heading-set differences were detected; no code drift or reader-visible raw-URL drift was found.,No immediate action required unless heading structure must match live exactly.,heading drift 0.600
RHI-RERUN-045,phase-8-rerun-2026-03-16,2026-03-16,/how-to-filter-jsdoc-in-storybook-autodocs/,src/content/posts/how-to-filter-jsdoc-in-storybook-autodocs/index.md,code-heavy|inline-html,How to filter JSDoc in Storybook Autodocs,How to filter JSDoc in Storybook Autodocs,0.971,1.000,0.969,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.971; heading_similarity=1; code_similarity=0.969; raw_url_diff=0.
RHI-RERUN-046,phase-8-rerun-2026-03-16,2026-03-16,/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/,src/content/posts/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/index.md,code-heavy|mailto|sandbox-access,How to get a Salesforce B2C Commerce Cloud Sandbox,How to get a Salesforce B2C Commerce Cloud Sandbox,0.907,0.750,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.907; heading_similarity=0.75; code_similarity=1; raw_url_diff=0.
RHI-RERUN-047,phase-8-rerun-2026-03-16,2026-03-16,/how-to-get-salesforce-certification-vouchers/,src/content/posts/how-to-get-salesforce-certification-vouchers/index.md,certification|body-parity,How to get Salesforce certification vouchers,How to get Salesforce certification vouchers,0.912,0.750,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.912; heading_similarity=0.75; code_similarity=1; raw_url_diff=0.
RHI-RERUN-048,phase-8-rerun-2026-03-16,2026-03-16,/how-to-load-client-side-javascript-and-css-in-sfra/,src/content/posts/how-to-load-client-side-javascript-and-css-in-sfra/index.md,code-heavy|isml-snippets,How to load client-side JavaScript and CSS in SFRA,How to load client-side JavaScript and CSS in SFRA,0.960,0.538,0.947,regressed,automated,pass,none,structure-only-drift,Only heading-set differences were detected; no code drift or reader-visible raw-URL drift was found.,No immediate action required unless heading structure must match live exactly.,heading drift 0.538
RHI-RERUN-049,phase-8-rerun-2026-03-16,2026-03-16,/how-to-set-up-slas-for-the-composable-storefront/,src/content/posts/how-to-set-up-slas-for-the-composable-storefront/index.md,code-heavy|slas|placeholder-url,How to set up SLAS for the Composable Storefront,How to set up SLAS for the Composable Storefront,0.922,0.400,1.000,regressed,deterministic,needs-review,medium,presentation-raw-url-drift,The local article exposes visible raw URLs that are not visible in the live article body.,Replace bare visible URLs with linked prose or confirm that the local exposure is intentional.,local-only visible URLs: https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization-for-shopper-apis.html
RHI-RERUN-050,phase-8-rerun-2026-03-16,2026-03-16,/how-to-set-up-the-ecdn-in-sfcc-staging/,src/content/posts/how-to-set-up-the-ecdn-in-sfcc-staging/index.md,code-heavy|image-light|warning-callout,How to set up the eCDN for Staging in Salesforce B2C Commerce Cloud,How to set up the eCDN for Staging in Salesforce B2C Commerce Cloud,0.932,0.846,1.000,unchanged,automated,pass,none,no-material-drift,No material reader-facing drift was detected in the rerun.,No action required.,text_similarity=0.932; heading_similarity=0.846; code_similarity=1; raw_url_diff=0.
RHI-RERUN-051,phase-8-rerun-2026-03-16,2026-03-16,/how-to-setup-oauth-jwt-for-the-ocapi/,src/content/posts/how-to-setup-oauth-jwt-for-the-ocapi/index.md,code-heavy|jwt|ocapi,How to setup OAuth JWT for the OCAPI,How to setup OAuth JWT for the OCAPI,0.863,0.667,1.000,regressed,deterministic,needs-review,medium,presentation-raw-url-drift,The local article exposes visible raw URLs that are not visible in the live article body.,Replace bare visible URLs with linked prose or confirm that the local exposure is intentional.,local-only visible URLs: https://account.demandware.com/dwsso/oauth2/access_token
